level,class_idx,class_name,ap
1,1,LV,0.04928423098119145
1,2,RV,0.05103194091744694
1,3,LA,0.027289217542895417
1,4,RA,0.07191853311436236
1,5,Myo,0.04964666687575561
1,6,Aorta,0.029557337330087582
1,7,PA,0.02333970118096591
2,1,LV,0.05239962960307415
2,2,RV,0.22401034434071995
2,3,LA,0.0683066314380363
2,4,RA,0.10957635192836496
2,5,Myo,0.20687605654974736
2,6,Aorta,0.03596554060412709
2,7,PA,0.08447260945296485
3,1,LV,0.0701257992643586
3,2,RV,0.04360474481269975
3,3,LA,0.11567255425890369
3,4,RA,0.08675430009292134
3,5,Myo,0.10213887703067176
3,6,Aorta,0.03952280949787496
3,7,PA,0.02031525370844328
4,1,LV,0.1975557440131795
4,2,RV,0.23183194559436937
4,3,LA,0.190429010806357
4,4,RA,0.18707967295625522
4,5,Myo,0.11474511208393215
4,6,Aorta,0.29663387224201326
4,7,PA,0.10642976895280659
