level,class_idx,class_name,proto_idx,max_activation,is_dead
1,1,LV,0,0.9957951307296753,False
1,1,LV,1,0.9971940517425537,False
1,1,LV,2,0.9695362448692322,False
1,1,LV,3,0.9986847043037415,False
1,2,RV,0,0.998085618019104,False
1,2,RV,1,0.9942551255226135,False
1,2,RV,2,0.9968776702880859,False
1,2,RV,3,0.9815629720687866,False
1,3,LA,0,0.9968523383140564,False
1,3,LA,1,0.9972246885299683,False
1,3,LA,2,0.9812240600585938,False
1,3,LA,3,0.9983958601951599,False
1,4,RA,0,0.9963370561599731,False
1,4,RA,1,0.986561119556427,False
1,4,RA,2,0.998853325843811,False
1,4,RA,3,0.9974402189254761,False
1,5,Myo,0,0.9688701033592224,False
1,5,Myo,1,0.9958599209785461,False
1,5,Myo,2,0.9970331192016602,False
1,5,Myo,3,0.9963811039924622,False
1,6,Aorta,0,0.972118616104126,False
1,6,Aorta,1,0.9971665740013123,False
1,6,Aorta,2,0.9970085024833679,False
1,6,Aorta,3,0.9977363348007202,False
1,7,PA,0,0.9848913550376892,False
1,7,PA,1,0.9974302649497986,False
1,7,PA,2,0.9980687499046326,False
1,7,PA,3,0.9960083961486816,False
2,1,LV,0,0.9929596781730652,False
2,1,LV,1,0.9961186647415161,False
2,1,LV,2,0.9980625510215759,False
2,2,RV,0,0.9980238676071167,False
2,2,RV,1,0.9956873059272766,False
2,2,RV,2,0.9955151677131653,False
2,3,LA,0,0.9931660294532776,False
2,3,LA,1,0.9984899759292603,False
2,3,LA,2,0.9961948394775391,False
2,4,RA,0,0.9977940320968628,False
2,4,RA,1,0.9960256814956665,False
2,4,RA,2,0.994971752166748,False
2,5,Myo,0,0.9980316758155823,False
2,5,Myo,1,0.9910333752632141,False
2,5,Myo,2,0.9972661733627319,False
2,6,Aorta,0,0.9974765181541443,False
2,6,Aorta,1,0.9973496198654175,False
2,6,Aorta,2,0.9874492883682251,False
2,7,PA,0,0.997103750705719,False
2,7,PA,1,0.9874600172042847,False
2,7,PA,2,0.9984027743339539,False
3,1,LV,0,0.9926053285598755,False
3,1,LV,1,0.9942716360092163,False
3,2,RV,0,0.993812084197998,False
3,2,RV,1,0.9947552680969238,False
3,3,LA,0,0.9908870458602905,False
3,3,LA,1,0.9940663576126099,False
3,4,RA,0,0.9923187494277954,False
3,4,RA,1,0.995762050151825,False
3,5,Myo,0,0.9954695701599121,False
3,5,Myo,1,0.995434582233429,False
3,6,Aorta,0,0.9936203360557556,False
3,6,Aorta,1,0.9911467432975769,False
3,7,PA,0,0.9946873188018799,False
3,7,PA,1,0.9906446933746338,False
4,1,LV,0,0.9737367630004883,False
4,1,LV,1,0.98764568567276,False
4,2,RV,0,0.9917267560958862,False
4,2,RV,1,0.9765228629112244,False
4,3,LA,0,0.9837284088134766,False
4,3,LA,1,0.9898307919502258,False
4,4,RA,0,0.9833528995513916,False
4,4,RA,1,0.9815985560417175,False
4,5,Myo,0,0.9883402585983276,False
4,5,Myo,1,0.9752601981163025,False
4,6,Aorta,0,0.9907931685447693,False
4,6,Aorta,1,0.9853056073188782,False
4,7,PA,0,0.9719864726066589,False
4,7,PA,1,0.9820142388343811,False
