level,class_idx,class_name,proto_idx,baseline_dice,ablated_dice,dice_drop
3,2,RV,0,0.7050007329885154,0.6970685798605906,0.007932153127924835
3,7,PA,1,0.7050007329885154,0.6970770960882123,0.007923636900303066
3,6,Aorta,0,0.7050007329885154,0.6970925350224998,0.007908197966015607
3,1,LV,0,0.7050007329885154,0.6970940628753178,0.007906670113197567
3,4,RA,0,0.7050007329885154,0.6971232556930002,0.007877477295515245
3,5,Myo,0,0.7050007329885154,0.6971248231860853,0.007875909802430137
3,3,LA,1,0.7050007329885154,0.6971477050405404,0.007853027947975044
4,6,Aorta,0,0.7050007329885154,0.7003891021089614,0.004611630879553963
4,4,RA,0,0.7050007329885154,0.7004206994854081,0.004580033503107317
4,2,RV,0,0.7050007329885154,0.7004491056841553,0.004551627304360095
4,7,PA,1,0.7050007329885154,0.700452877796089,0.004547855192426398
4,1,LV,1,0.7050007329885154,0.7004555443279009,0.004545188660614485
4,3,LA,1,0.7050007329885154,0.7004611220561735,0.004539610932341898
4,5,Myo,0,0.7050007329885154,0.7004891633193348,0.004511569669180648
3,3,LA,0,0.7050007329885154,0.7048094578986156,0.00019127508989980058
3,4,RA,1,0.7050007329885154,0.7048119681221695,0.00018876486634589185
3,5,Myo,1,0.7050007329885154,0.7048176238677109,0.00018310912080454766
3,7,PA,0,0.7050007329885154,0.7048392525109916,0.00016148047752384542
3,1,LV,1,0.7050007329885154,0.704839297794154,0.0001614351943614034
3,2,RV,1,0.7050007329885154,0.7048412289356395,0.00015950405287590286
3,6,Aorta,1,0.7050007329885154,0.7048525346637101,0.00014819832480528206
1,6,Aorta,2,0.7050007329885154,0.7048852737935544,0.00011545919496103174
1,6,Aorta,1,0.7050007329885154,0.7049716227275397,2.9110260975739877e-05
1,3,LA,2,0.7050007329885154,0.7049921741924519,8.558796063540264e-06
1,5,Myo,0,0.7050007329885154,0.7049957514645491,4.981523966329782e-06
1,4,RA,1,0.7050007329885154,0.7049965842956258,4.148692889560657e-06
1,1,LV,2,0.7050007329885154,0.704997254144414,3.4788441013455795e-06
1,6,Aorta,0,0.7050007329885154,0.704997632541727,3.100446788417699e-06
1,5,Myo,3,0.7050007329885154,0.7049984739130406,2.259075474797534e-06
1,2,RV,3,0.7050007329885154,0.7049992342714376,1.4987170777747139e-06
1,7,PA,0,0.7050007329885154,0.7050032780986631,-2.5451101477447224e-06
1,1,LV,3,0.7050007329885154,0.7050095933195001,-8.860330984683529e-06
1,3,LA,0,0.7050007329885154,0.7050357341193613,-3.5001130845868644e-05
2,7,PA,1,0.7050007329885154,0.705062493720437,-6.176073192154519e-05
2,1,LV,0,0.7050007329885154,0.7050781295275336,-7.739653901817078e-05
1,4,RA,0,0.7050007329885154,0.7050809958025849,-8.026281406947611e-05
2,3,LA,0,0.7050007329885154,0.7050830059622711,-8.227297375573706e-05
2,4,RA,2,0.7050007329885154,0.7050848323261479,-8.409933763253719e-05
1,1,LV,0,0.7050007329885154,0.7050848597535049,-8.412676498947835e-05
1,2,RV,2,0.7050007329885154,0.7050854445671185,-8.471157860312495e-05
2,6,Aorta,2,0.7050007329885154,0.7050874334681553,-8.670047963987848e-05
2,5,Myo,1,0.7050007329885154,0.7050936919096431,-9.295892112770598e-05
2,2,RV,2,0.7050007329885154,0.7050945579164574,-9.382492794196562e-05
1,7,PA,3,0.7050007329885154,0.7051426968430233,-0.00014196385450793159
1,5,Myo,2,0.7050007329885154,0.7051640494082412,-0.0001633164197257786
1,6,Aorta,3,0.7050007329885154,0.7052148261213781,-0.0002140931328626916
2,7,PA,2,0.7050007329885154,0.705243667162359,-0.00024293417384357863
2,6,Aorta,0,0.7050007329885154,0.7052459996111461,-0.000245266622630691
2,3,LA,2,0.7050007329885154,0.705251936201282,-0.0002512032127666153
2,1,LV,1,0.7050007329885154,0.7052662987317088,-0.00026556574319336335
2,2,RV,0,0.7050007329885154,0.7052679477645664,-0.00026721477605096133
2,5,Myo,2,0.7050007329885154,0.7052805668332691,-0.00027983384475371853
2,4,RA,0,0.7050007329885154,0.7053311645714729,-0.0003304315829575355
1,1,LV,1,0.7050007329885154,0.7053809464568255,-0.0003802134683100755
1,2,RV,1,0.7050007329885154,0.7054117069641243,-0.0004109739756088526
1,5,Myo,1,0.7050007329885154,0.705447829319613,-0.0004470963310976295
1,7,PA,1,0.7050007329885154,0.7054491004107997,-0.0004483674222842682
1,3,LA,1,0.7050007329885154,0.705462349107276,-0.0004616161187606105
1,4,RA,3,0.7050007329885154,0.7054634131068815,-0.0004626801183661433
4,6,Aorta,1,0.7050007329885154,0.7055430663307135,-0.0005423333421981091
4,7,PA,0,0.7050007329885154,0.7056445416818273,-0.0006438086933119314
4,3,LA,0,0.7050007329885154,0.7056526666628444,-0.0006519336743290305
4,2,RV,1,0.7050007329885154,0.7056622592669132,-0.0006615262783977727
4,5,Myo,1,0.7050007329885154,0.7056772417649424,-0.0006765087764269984
4,1,LV,0,0.7050007329885154,0.7056991276831069,-0.000698394694591542
4,4,RA,1,0.7050007329885154,0.7056997945703868,-0.0006990615818713852
2,6,Aorta,1,0.7050007329885154,0.7058630140279273,-0.0008622810394118829
2,3,LA,1,0.7050007329885154,0.7059183206897869,-0.0009175877012714828
2,2,RV,1,0.7050007329885154,0.7059208410231634,-0.0009201080346480373
2,5,Myo,0,0.7050007329885154,0.7059251814478477,-0.000924448459332261
2,4,RA,1,0.7050007329885154,0.7059259408273463,-0.0009252078388308771
2,1,LV,2,0.7050007329885154,0.70592922682877,-0.0009284938402546183
2,7,PA,0,0.7050007329885154,0.7059873146347664,-0.0009865816462509835
1,3,LA,3,0.7050007329885154,0.7060258715552442,-0.0010251385667288115
1,7,PA,2,0.7050007329885154,0.7060310496150419,-0.0010303166265265284
1,4,RA,2,0.7050007329885154,0.706036511966734,-0.0010357789782186044
1,2,RV,0,0.7050007329885154,0.706039856496873,-0.0010391235083575534
