Metric,Value,Min gate,Target,Pass
Val Dice,0.3357,nan,nan,—
Effective Purity,0.5686,nan,nan,—
Effective AP,0.2189,0.15,0.25,✅
Effective Compact.,0.1232,nan,nan,—
Faithfulness,0.2181,0.15,0.30,✅
Stability,14.3827,nan,2.00,❌
