epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
50,B,5.0,0.93442,0.9486,1.58851,6.9559,-0.920381,0.225985,0.50209,0.00015,15.7,0.2508,0.5567,0.8147,0.3748,0.4623,0.6175,0.4379
51,B,5.0,0.93183,0.94838,1.58517,6.95638,-0.920179,0.222328,,0.0001453,15.5,,,,,,,
52,B,5.0,0.92831,0.94813,1.5814,6.95656,-0.921671,0.219257,,0.0001406,15.8,,,,,,,
53,B,5.0,0.92713,0.94802,1.57971,6.95683,-0.921266,0.217311,,0.0001359,15.6,,,,,,,
54,B,5.0,0.92596,0.94789,1.57793,6.9571,-0.920603,0.215154,,0.0001312,15.5,,,,,,,
55,B,5.0,0.92387,0.94771,1.57563,6.9572,-0.921483,0.213475,0.44494,0.0001265,15.5,0.1772,0.4314,0.7572,0.3506,0.3907,0.6199,0.3875
56,B,5.0,0.92258,0.9476,1.57383,6.95728,-0.921192,0.211553,,0.0001219,15.4,,,,,,,
57,B,5.0,0.92083,0.94753,1.57171,6.95734,-0.921767,0.210077,,0.0001173,15.7,,,,,,,
58,B,5.0,0.91896,0.94736,1.56908,6.95733,-0.921894,0.208452,,0.0001127,15.6,,,,,,,
59,B,5.0,0.91728,0.9472,1.56745,6.95744,-0.922784,0.207075,,0.0001082,15.7,,,,,,,
60,B,5.0,0.91988,0.94749,1.57186,6.95165,-0.924952,0.212676,0.5237,0.0001036,15.3,0.2894,0.5491,0.8002,0.4081,0.5089,0.6209,0.4891
61,B,5.0,0.9177,0.94734,1.56941,6.95199,-0.925464,0.210137,,9.92e-05,15.6,,,,,,,
62,B,5.0,0.91664,0.94734,1.56751,6.95212,-0.92483,0.208433,,9.48e-05,15.6,,,,,,,
63,B,5.0,0.91441,0.94714,1.56535,6.95222,-0.925948,0.206479,,9.04e-05,15.6,,,,,,,
64,B,5.0,0.91355,0.94704,1.56423,6.95236,-0.925918,0.205393,,8.61e-05,15.6,,,,,,,
65,B,5.0,0.91244,0.94694,1.56283,6.95241,-0.9259,0.203922,0.49969,8.19e-05,15.7,0.2589,0.5599,0.8081,0.3682,0.438,0.6691,0.3955
66,B,5.0,0.91044,0.94681,1.56054,6.95238,-0.92685,0.202653,,7.77e-05,15.6,,,,,,,
67,B,5.0,0.90836,0.94662,1.55855,6.95229,-0.928181,0.201374,,7.36e-05,15.7,,,,,,,
68,B,5.0,0.90818,0.94667,1.55815,6.95239,-0.927747,0.200473,,6.96e-05,15.6,,,,,,,
69,B,5.0,0.90861,0.94667,1.55802,6.95261,-0.92641,0.199784,,6.57e-05,15.7,,,,,,,
70,B,5.0,0.90916,0.94673,1.55945,6.95126,-0.927895,0.201988,0.51885,6.18e-05,15.3,0.276,0.5773,0.8311,0.4,0.4892,0.6077,0.4507
71,B,5.0,0.90652,0.94651,1.55691,6.95136,-0.929418,0.200007,,5.81e-05,15.1,,,,,,,
72,B,5.0,0.90608,0.94656,1.55613,6.95143,-0.92894,0.198775,,5.44e-05,15.3,,,,,,,
73,B,5.0,0.90468,0.94648,1.5547,6.9516,-0.929734,0.19776,,5.08e-05,15.3,,,,,,,
74,B,5.0,0.90442,0.94643,1.55405,6.95165,-0.92905,0.196729,,4.73e-05,15.4,,,,,,,
75,B,5.0,0.90344,0.94634,1.55294,6.95176,-0.929387,0.195908,0.52663,4.39e-05,15.3,0.2833,0.5478,0.8616,0.3737,0.5027,0.6479,0.4695
76,B,5.0,0.90225,0.94623,1.55171,6.95153,-0.930068,0.19518,,4.07e-05,15.2,,,,,,,
77,B,5.0,0.90179,0.9463,1.55095,6.95168,-0.929964,0.194541,,3.75e-05,15.7,,,,,,,
78,B,5.0,0.90078,0.94616,1.55,6.95159,-0.930533,0.193805,,3.44e-05,15.7,,,,,,,
79,B,5.0,0.89989,0.94603,1.54904,6.95165,-0.930916,0.193186,,3.15e-05,15.5,,,,,,,
80,B,5.0,0.90006,0.94612,1.54921,6.94953,-0.93205,0.195704,0.5537,2.86e-05,15.5,0.3233,0.6006,0.8556,0.455,0.5326,0.6159,0.4927
81,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.59e-05,0.0,,,,,,,
82,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.34e-05,0.0,,,,,,,
83,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.09e-05,0.0,,,,,,,
84,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.86e-05,0.0,,,,,,,
85,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537,1.63e-05,0.0,0.3233,0.6006,0.8556,0.455,0.5326,0.6159,0.4927
86,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.43e-05,0.0,,,,,,,
87,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.23e-05,0.0,,,,,,,
88,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.05e-05,0.0,,,,,,,
89,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.9e-06,0.0,,,,,,,
90,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537,7.3e-06,0.0,0.3233,0.6006,0.8556,0.455,0.5326,0.6159,0.4927
91,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,6e-06,0.0,,,,,,,
92,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.7e-06,0.0,,,,,,,
93,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.6e-06,0.0,,,,,,,
94,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.7e-06,0.0,,,,,,,
95,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537,1.8e-06,0.0,0.3233,0.6006,0.8556,0.455,0.5326,0.6159,0.4927
96,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.2e-06,0.0,,,,,,,
97,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,7e-07,0.0,,,,,,,
98,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3e-07,0.0,,,,,,,
99,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1e-07,0.0,,,,,,,
100,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537,0.0,0.0,0.3233,0.6006,0.8556,0.455,0.5326,0.6159,0.4927
