epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.5062,0.96928,2.04311,0.0,0.0,0.0,0.0421,0.0002999,12.3,0.0003,0.0664,0.0,0.0341,0.1307,0.0408,0.0225
2,A,5.0,1.49333,0.96834,2.01831,0.0,0.0,0.0,,0.0002997,12.1,,,,,,,
3,A,5.0,1.4831,0.96761,1.99858,0.0,0.0,0.0,,0.0002993,12.2,,,,,,,
4,A,5.0,1.4758,0.96707,1.98454,0.0,0.0,0.0,,0.0002988,12.3,,,,,,,
5,A,5.0,1.46923,0.96656,1.9719,0.0,0.0,0.0,0.16566,0.0002982,12.3,0.1457,0.1915,0.2324,0.0369,0.2646,0.2372,0.0512
6,A,5.0,1.46109,0.96594,1.95625,0.0,0.0,0.0,,0.0002973,12.2,,,,,,,
7,A,5.0,1.45472,0.9654,1.94404,0.0,0.0,0.0,,0.0002964,12.2,,,,,,,
8,A,5.0,1.4481,0.96492,1.93128,0.0,0.0,0.0,,0.0002953,12.2,,,,,,,
9,A,5.0,1.44352,0.96452,1.92253,0.0,0.0,0.0,,0.000294,12.3,,,,,,,
10,A,5.0,1.43739,0.964,1.91078,0.0,0.0,0.0,0.23201,0.0002927,12.3,0.0999,0.2618,0.5454,0.0623,0.3422,0.2331,0.0793
11,A,5.0,1.43264,0.9636,1.90168,0.0,0.0,0.0,,0.0002911,12.2,,,,,,,
12,A,5.0,1.42759,0.96316,1.89203,0.0,0.0,0.0,,0.0002895,12.2,,,,,,,
13,A,5.0,1.42306,0.96278,1.88334,0.0,0.0,0.0,,0.0002877,12.6,,,,,,,
14,A,5.0,1.41827,0.96241,1.87414,0.0,0.0,0.0,,0.0002857,12.5,,,,,,,
15,A,5.0,1.41415,0.96201,1.86628,0.0,0.0,0.0,0.28259,0.0002837,12.4,0.1036,0.3293,0.5628,0.0604,0.3411,0.4189,0.1618
16,A,5.0,1.40839,0.96154,1.85524,0.0,0.0,0.0,,0.0002814,12.9,,,,,,,
17,A,5.0,1.40406,0.96112,1.84701,0.0,0.0,0.0,,0.0002791,12.8,,,,,,,
18,A,5.0,1.40116,0.96089,1.84143,0.0,0.0,0.0,,0.0002766,12.5,,,,,,,
19,A,5.0,1.39825,0.96064,1.83586,0.0,0.0,0.0,,0.0002741,12.6,,,,,,,
20,A,5.0,1.39316,0.96012,1.82621,0.0,0.0,0.0,0.33298,0.0002714,12.6,0.1223,0.4143,0.6777,0.0785,0.3929,0.4181,0.2272
21,B,5.0,1.32723,0.96311,1.88598,20.87085,-0.831302,0.438514,,0.0002685,16.0,,,,,,,
22,B,5.0,1.30179,0.96235,1.86947,20.89012,-0.845743,0.399397,,0.0002656,15.6,,,,,,,
23,B,5.0,1.28141,0.96163,1.85163,20.89954,-0.857171,0.377493,,0.0002625,15.7,,,,,,,
24,B,5.0,1.27012,0.96121,1.8418,20.90394,-0.862585,0.36346,,0.0002593,15.7,,,,,,,
25,B,5.0,1.26262,0.96096,1.83552,20.90555,-0.86624,0.353784,0.31512,0.0002561,15.6,0.0954,0.3213,0.6255,0.0937,0.2923,0.4302,0.3475
26,B,5.0,1.25542,0.96064,1.82971,20.90565,-0.870482,0.345723,,0.0002527,15.3,,,,,,,
27,B,5.0,1.24891,0.96043,1.82388,20.90469,-0.874096,0.339014,,0.0002492,15.4,,,,,,,
28,B,5.0,1.24346,0.96026,1.81913,20.90248,-0.877351,0.333643,,0.0002456,15.6,,,,,,,
29,B,5.0,1.23883,0.96006,1.81578,20.89977,-0.880336,0.328318,,0.0002419,15.6,,,,,,,
30,B,5.0,1.2456,0.96108,1.83829,20.91876,-0.897202,0.341329,0.3101,0.0002382,15.8,0.183,0.3095,0.626,0.1362,0.2928,0.4291,0.194
31,B,5.0,1.2397,0.96084,1.83239,20.9226,-0.898015,0.331472,,0.0002343,15.8,,,,,,,
32,B,5.0,1.23356,0.96055,1.8263,20.92511,-0.899285,0.322099,,0.0002304,15.7,,,,,,,
33,B,5.0,1.22884,0.96037,1.82119,20.92551,-0.90061,0.316447,,0.0002264,16.1,,,,,,,
34,B,5.0,1.22462,0.9601,1.8168,20.92529,-0.901866,0.31142,,0.0002223,15.9,,,,,,,
35,B,5.0,1.22084,0.95993,1.8126,20.92424,-0.902923,0.307159,0.26304,0.0002181,15.8,0.1297,0.3455,0.4326,0.1418,0.2499,0.3986,0.1433
36,B,5.0,1.2183,0.95982,1.80966,20.92312,-0.90284,0.303023,,0.0002139,15.6,,,,,,,
37,B,5.0,1.21761,0.95975,1.80853,20.92168,-0.901252,0.299533,,0.0002096,15.7,,,,,,,
38,B,5.0,1.213,0.95952,1.80329,20.91931,-0.903195,0.296008,,0.0002052,15.7,,,,,,,
39,B,5.0,1.21,0.95935,1.80041,20.91638,-0.904372,0.29258,,0.0002008,15.6,,,,,,,
40,B,5.0,1.21166,0.95976,1.80814,20.92526,-0.912539,0.298916,0.33572,0.0001964,15.4,0.1572,0.4486,0.7485,0.1237,0.1891,0.4645,0.2183
41,B,5.0,1.21069,0.95969,1.80659,20.92601,-0.910516,0.294186,,0.0001918,15.4,,,,,,,
42,B,5.0,1.20679,0.95944,1.80206,20.92506,-0.911148,0.289443,,0.0001873,15.4,,,,,,,
43,B,5.0,1.20302,0.95928,1.79796,20.92406,-0.912478,0.285588,,0.0001827,15.6,,,,,,,
44,B,5.0,1.20002,0.95907,1.79432,20.92248,-0.913046,0.282482,,0.0001781,15.8,,,,,,,
45,B,5.0,1.19869,0.95903,1.79192,20.92093,-0.91164,0.279333,0.30994,0.0001735,15.5,0.1267,0.4235,0.6898,0.0945,0.2772,0.419,0.1388
46,B,5.0,1.19701,0.9589,1.78996,20.91904,-0.912001,0.27757,,0.0001688,15.2,,,,,,,
47,B,5.0,1.19773,0.95883,1.79017,20.91757,-0.909627,0.275455,,0.0001641,15.8,,,,,,,
48,B,5.0,1.19437,0.95864,1.78645,20.91565,-0.911616,0.273923,,0.0001594,15.9,,,,,,,
49,B,5.0,1.19028,0.95849,1.78193,20.91362,-0.913288,0.270307,,0.0001547,15.8,,,,,,,
50,B,5.0,1.19302,0.95871,1.78672,20.91406,-0.914709,0.274076,0.29306,0.00015,15.5,0.1957,0.3724,0.4977,0.1404,0.2433,0.4447,0.1572
51,B,5.0,1.19068,0.95861,1.78386,20.91375,-0.914576,0.270389,,0.0001453,15.3,,,,,,,
52,B,5.0,1.18772,0.95843,1.78068,20.91278,-0.915629,0.267393,,0.0001406,15.4,,,,,,,
53,B,5.0,1.1857,0.9583,1.778,20.91195,-0.91553,0.26477,,0.0001359,15.8,,,,,,,
54,B,5.0,1.18357,0.95818,1.7755,20.91098,-0.916182,0.262858,,0.0001312,15.6,,,,,,,
55,B,5.0,1.18324,0.95813,1.77447,20.91011,-0.914716,0.260776,0.32786,0.0001265,15.5,0.1779,0.4311,0.6653,0.1515,0.2506,0.45,0.1687
56,B,5.0,1.18384,0.95811,1.77454,20.90966,-0.912983,0.259644,,0.0001219,15.3,,,,,,,
57,B,5.0,1.18256,0.95802,1.77268,20.90915,-0.912676,0.25784,,0.0001173,15.4,,,,,,,
58,B,5.0,1.1808,0.95793,1.77088,20.90792,-0.913719,0.256706,,0.0001127,15.9,,,,,,,
59,B,5.0,1.18165,0.95799,1.77132,20.90686,-0.912118,0.255945,,0.0001082,15.9,,,,,,,
60,B,5.0,1.17909,0.95794,1.77027,20.90479,-0.917016,0.257785,0.29229,0.0001036,15.6,0.1311,0.3929,0.5866,0.116,0.1679,0.4502,0.2013
61,B,5.0,1.17633,0.95782,1.76717,20.90399,-0.918053,0.255301,,9.92e-05,15.3,,,,,,,
62,B,5.0,1.17814,0.95778,1.76867,20.90441,-0.915246,0.253988,,9.48e-05,15.3,,,,,,,
63,B,5.0,1.17425,0.95761,1.76454,20.90329,-0.91757,0.251734,,9.04e-05,15.3,,,,,,,
64,B,5.0,1.17409,0.95757,1.76375,20.90299,-0.916496,0.250588,,8.61e-05,15.2,,,,,,,
65,B,5.0,1.17326,0.95754,1.76256,20.90251,-0.916174,0.249105,0.27241,8.19e-05,15.3,0.1022,0.3151,0.5417,0.0665,0.212,0.3968,0.2725
66,B,5.0,1.17453,0.95758,1.76358,20.90185,-0.914512,0.248754,,7.77e-05,15.2,,,,,,,
67,B,5.0,1.17127,0.95738,1.76007,20.90134,-0.916534,0.247185,,7.36e-05,15.3,,,,,,,
68,B,5.0,1.17068,0.95733,1.7594,20.90073,-0.916628,0.24648,,6.96e-05,15.4,,,,,,,
69,B,5.0,1.17128,0.95739,1.75972,20.90023,-0.915674,0.246242,,6.57e-05,15.4,,,,,,,
70,B,5.0,1.17118,0.95751,1.76039,20.89736,-0.917577,0.248168,0.30271,6.18e-05,15.4,0.1333,0.3759,0.6288,0.0825,0.2,0.4585,0.24
71,B,5.0,1.16922,0.95734,1.7587,20.89707,-0.918845,0.24659,,5.81e-05,15.8,,,,,,,
72,B,5.0,1.16894,0.95726,1.75818,20.89653,-0.918393,0.245808,,5.44e-05,15.9,,,,,,,
73,B,5.0,1.16815,0.95728,1.75702,20.89652,-0.918195,0.244528,,5.08e-05,15.6,,,,,,,
74,B,5.0,1.16563,0.95719,1.75444,20.89595,-0.920054,0.243564,,4.73e-05,15.8,,,,,,,
75,B,5.0,1.16671,0.95716,1.75508,20.89597,-0.918323,0.243164,0.32122,4.39e-05,15.8,0.1422,0.4655,0.7206,0.0964,0.1558,0.4549,0.2131
76,B,5.0,1.16639,0.95718,1.75451,20.89565,-0.918056,0.242471,,4.07e-05,15.6,,,,,,,
77,B,5.0,1.16529,0.9571,1.75317,20.89524,-0.918627,0.242071,,3.75e-05,15.6,,,,,,,
78,B,5.0,1.16412,0.957,1.75219,20.89493,-0.919506,0.241322,,3.44e-05,15.7,,,,,,,
79,B,5.0,1.16519,0.95704,1.75309,20.89516,-0.918109,0.240888,,3.15e-05,15.7,,,,,,,
80,B,5.0,1.16604,0.95712,1.75396,20.89374,-0.91842,0.243104,0.31558,2.86e-05,15.6,0.1454,0.4367,0.6986,0.0921,0.1738,0.4489,0.2135
81,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.59e-05,0.0,,,,,,,
82,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.34e-05,0.0,,,,,,,
83,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.09e-05,0.0,,,,,,,
84,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.86e-05,0.0,,,,,,,
85,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31558,1.63e-05,0.0,0.1454,0.4367,0.6986,0.0921,0.1738,0.4489,0.2135
86,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.43e-05,0.0,,,,,,,
87,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.23e-05,0.0,,,,,,,
88,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.05e-05,0.0,,,,,,,
89,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.9e-06,0.0,,,,,,,
90,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31558,7.3e-06,0.0,0.1454,0.4367,0.6986,0.0921,0.1738,0.4489,0.2135
91,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,6e-06,0.0,,,,,,,
92,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.7e-06,0.0,,,,,,,
93,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.6e-06,0.0,,,,,,,
94,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.7e-06,0.0,,,,,,,
95,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31558,1.8e-06,0.0,0.1454,0.4367,0.6986,0.0921,0.1738,0.4489,0.2135
96,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.2e-06,0.0,,,,,,,
97,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,7e-07,0.0,,,,,,,
98,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3e-07,0.0,,,,,,,
99,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1e-07,0.0,,,,,,,
100,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31558,0.0,0.0,0.1454,0.4367,0.6986,0.0921,0.1738,0.4489,0.2135
