epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.49521,0.96856,2.02187,0.0,0.0,0.0,0.19219,0.0002999,22.5,0.1271,0.2643,0.0283,0.1456,0.2863,0.4363,0.0576
2,A,5.0,1.46281,0.96633,1.9593,0.0,0.0,0.0,,0.0002997,16.5,,,,,,,
3,A,5.0,1.44059,0.96465,1.91652,0.0,0.0,0.0,,0.0002993,16.3,,,,,,,
4,A,5.0,1.42328,0.96328,1.88329,0.0,0.0,0.0,,0.0002988,16.2,,,,,,,
5,A,5.0,1.41151,0.96236,1.86067,0.0,0.0,0.0,0.35953,0.0002982,21.1,0.1196,0.5293,0.495,0.1969,0.4206,0.5888,0.1666
6,A,5.0,1.40032,0.96133,1.83932,0.0,0.0,0.0,,0.0002973,24.4,,,,,,,
7,A,5.0,1.39005,0.96048,1.81962,0.0,0.0,0.0,,0.0002964,26.3,,,,,,,
8,A,5.0,1.38078,0.95972,1.80185,0.0,0.0,0.0,,0.0002953,25.7,,,,,,,
9,A,5.0,1.37077,0.95878,1.78277,0.0,0.0,0.0,,0.000294,25.8,,,,,,,
10,A,5.0,1.36223,0.95796,1.7665,0.0,0.0,0.0,0.48548,0.0002927,26.2,0.2043,0.5541,0.8532,0.3589,0.4775,0.5823,0.3681
11,A,5.0,1.35253,0.95705,1.74802,0.0,0.0,0.0,,0.0002911,26.2,,,,,,,
12,A,5.0,1.34535,0.95636,1.73435,0.0,0.0,0.0,,0.0002895,26.2,,,,,,,
13,A,5.0,1.33794,0.95565,1.72023,0.0,0.0,0.0,,0.0002877,24.0,,,,,,,
14,A,5.0,1.33178,0.95505,1.70851,0.0,0.0,0.0,,0.0002857,26.0,,,,,,,
15,A,5.0,1.32459,0.9543,1.69488,0.0,0.0,0.0,0.40376,0.0002837,26.2,0.1262,0.5242,0.7361,0.3951,0.2676,0.506,0.2711
16,A,5.0,1.31894,0.95376,1.68413,0.0,0.0,0.0,,0.0002814,26.3,,,,,,,
17,A,5.0,1.3136,0.95323,1.67397,0.0,0.0,0.0,,0.0002791,26.0,,,,,,,
18,A,5.0,1.30773,0.95257,1.66289,0.0,0.0,0.0,,0.0002766,26.1,,,,,,,
19,A,5.0,1.30318,0.95212,1.65423,0.0,0.0,0.0,,0.0002741,19.2,,,,,,,
20,A,5.0,1.29832,0.95153,1.6451,0.0,0.0,0.0,0.52998,0.0002714,16.6,0.3155,0.5467,0.8821,0.4901,0.482,0.4916,0.5019
21,B,5.0,1.127,0.95475,1.70097,13.77942,-0.877667,0.400714,,0.0002685,35.5,,,,,,,
22,B,5.0,1.10389,0.95375,1.68236,13.80385,-0.880746,0.352662,,0.0002656,35.4,,,,,,,
23,B,5.0,1.08452,0.9528,1.66412,13.81365,-0.887344,0.326352,,0.0002625,35.3,,,,,,,
24,B,5.0,1.07313,0.95218,1.6526,13.81998,-0.888937,0.308034,,0.0002593,34.6,,,,,,,
25,B,5.0,1.06241,0.95152,1.64121,13.82293,-0.891375,0.293994,0.44552,0.0002561,33.1,0.1902,0.4115,0.7373,0.4439,0.5206,0.4214,0.3937
26,B,5.0,1.05509,0.95103,1.63323,13.82471,-0.89244,0.283727,,0.0002527,35.2,,,,,,,
27,B,5.0,1.04734,0.95056,1.62487,13.82447,-0.894987,0.275475,,0.0002492,35.4,,,,,,,
28,B,5.0,1.04354,0.95039,1.62056,13.82433,-0.89463,0.268542,,0.0002456,34.8,,,,,,,
29,B,5.0,1.03677,0.94993,1.61332,13.82251,-0.897324,0.262342,,0.0002419,27.8,,,,,,,
30,B,5.0,1.05336,0.9517,1.64315,13.82114,-0.911973,0.294837,0.45652,0.0002382,32.0,0.1835,0.5392,0.7565,0.3325,0.426,0.5129,0.4451
31,B,5.0,1.04426,0.95118,1.63404,13.82401,-0.914004,0.281661,,0.0002343,34.4,,,,,,,
32,B,5.0,1.03588,0.95063,1.62505,13.82623,-0.916074,0.271287,,0.0002304,34.8,,,,,,,
33,B,5.0,1.03006,0.95027,1.61862,13.82817,-0.91683,0.262977,,0.0002264,34.7,,,,,,,
34,B,5.0,1.02522,0.94994,1.613,13.82987,-0.917121,0.256037,,0.0002223,34.3,,,,,,,
35,B,5.0,1.02096,0.94964,1.60783,13.82967,-0.91742,0.250548,0.52132,0.0002181,32.7,0.3007,0.6143,0.8117,0.4146,0.5953,0.4927,0.4199
36,B,5.0,1.01579,0.94919,1.60221,13.82959,-0.919064,0.245323,,0.0002139,34.6,,,,,,,
37,B,5.0,1.01291,0.94901,1.59817,13.8307,-0.918424,0.240879,,0.0002096,34.6,,,,,,,
38,B,5.0,1.00968,0.94884,1.59418,13.82956,-0.918779,0.237041,,0.0002052,35.4,,,,,,,
39,B,5.0,1.00601,0.9486,1.58951,13.82937,-0.919346,0.23335,,0.0002008,29.5,,,,,,,
40,B,5.0,1.01065,0.94894,1.59729,13.82921,-0.924145,0.245273,0.48642,0.0001964,33.4,0.3074,0.6068,0.76,0.397,0.4636,0.4837,0.3865
41,B,5.0,1.00632,0.94872,1.59214,13.83088,-0.924089,0.238512,,0.0001918,34.7,,,,,,,
42,B,5.0,1.00296,0.94839,1.58812,13.83284,-0.923685,0.232906,,0.0001873,34.7,,,,,,,
43,B,5.0,1.00068,0.94825,1.58534,13.83395,-0.923041,0.228258,,0.0001827,35.0,,,,,,,
44,B,5.0,0.99734,0.948,1.58125,13.83451,-0.923438,0.224353,,0.0001781,35.2,,,,,,,
45,B,5.0,0.99438,0.94772,1.57774,13.83456,-0.923897,0.221002,0.52422,0.0001735,32.8,0.3031,0.6109,0.774,0.4721,0.4959,0.5324,0.4811
46,B,5.0,0.99192,0.94754,1.57463,13.83484,-0.9241,0.218135,,0.0001688,35.2,,,,,,,
47,B,5.0,0.98995,0.94745,1.57206,13.83475,-0.924058,0.215493,,0.0001641,35.1,,,,,,,
48,B,5.0,0.98741,0.94719,1.56909,13.83464,-0.924658,0.213005,,0.0001594,35.2,,,,,,,
49,B,5.0,0.98579,0.94709,1.56681,13.83405,-0.924382,0.210762,,0.0001547,28.1,,,,,,,
50,B,5.0,0.98917,0.94746,1.5721,13.84162,-0.92656,0.217003,0.52058,0.00015,32.5,0.2819,0.5992,0.7578,0.4212,0.5284,0.561,0.4946
51,B,5.0,0.98561,0.94712,1.56804,13.84296,-0.92698,0.212356,,0.0001453,34.6,,,,,,,
52,B,5.0,0.98343,0.94697,1.5655,13.84339,-0.927004,0.209048,,0.0001406,35.2,,,,,,,
53,B,5.0,0.98076,0.94679,1.56194,13.84416,-0.927056,0.205922,,0.0001359,35.5,,,,,,,
54,B,5.0,0.97912,0.94668,1.5603,13.84481,-0.927386,0.203499,,0.0001312,34.8,,,,,,,
55,B,5.0,0.97763,0.94647,1.55831,13.84503,-0.927103,0.20137,0.52064,0.0001265,32.3,0.3224,0.6838,0.8131,0.3744,0.5245,0.5523,0.3739
56,B,5.0,0.97589,0.94644,1.55606,13.84519,-0.927349,0.199442,,0.0001219,35.3,,,,,,,
57,B,5.0,0.9735,0.94617,1.55346,13.84475,-0.928297,0.197544,,0.0001173,34.9,,,,,,,
58,B,5.0,0.97236,0.94615,1.55184,13.84463,-0.928107,0.195902,,0.0001127,34.6,,,,,,,
59,B,5.0,0.97078,0.946,1.5501,13.84444,-0.928597,0.194348,,0.0001082,27.9,,,,,,,
60,B,5.0,0.97409,0.94639,1.55509,13.84423,-0.929983,0.19961,0.55876,0.0001036,30.5,0.3694,0.6478,0.8175,0.5173,0.5436,0.5814,0.4343
61,B,5.0,0.97175,0.94617,1.55257,13.8446,-0.930509,0.196749,,9.92e-05,21.2,,,,,,,
62,B,5.0,0.97088,0.94611,1.55126,13.84524,-0.929816,0.194571,,9.48e-05,20.4,,,,,,,
63,B,5.0,0.96881,0.94601,1.54884,13.84551,-0.9305,0.192731,,9.04e-05,20.5,,,,,,,
64,B,5.0,0.96777,0.94587,1.54782,13.8459,-0.930569,0.191029,,8.61e-05,20.7,,,,,,,
65,B,5.0,0.96614,0.9458,1.54548,13.84578,-0.930707,0.189586,0.54726,8.19e-05,20.5,0.3232,0.6195,0.7917,0.5038,0.524,0.5987,0.47
66,B,5.0,0.96495,0.94562,1.5443,13.84608,-0.931064,0.188238,,7.77e-05,20.2,,,,,,,
67,B,5.0,0.96377,0.94551,1.54313,13.8457,-0.931573,0.187104,,7.36e-05,22.2,,,,,,,
68,B,5.0,0.96382,0.94562,1.54249,13.84614,-0.930467,0.186162,,6.96e-05,30.5,,,,,,,
69,B,5.0,0.96173,0.94539,1.5403,13.84601,-0.931675,0.185057,,6.57e-05,30.6,,,,,,,
70,B,5.0,0.96461,0.9457,1.54467,13.83802,-0.932499,0.189188,0.5459,6.18e-05,30.7,0.3354,0.6414,0.8189,0.4971,0.5247,0.5556,0.4481
71,B,5.0,0.96293,0.94554,1.5428,13.83769,-0.933069,0.187661,,5.81e-05,25.2,,,,,,,
72,B,5.0,0.96182,0.94547,1.54126,13.83853,-0.932973,0.186218,,5.44e-05,20.2,,,,,,,
73,B,5.0,0.96046,0.94529,1.53992,13.83825,-0.933575,0.185024,,5.08e-05,20.1,,,,,,,
74,B,5.0,0.96001,0.94537,1.53939,13.83858,-0.933575,0.184135,,4.73e-05,20.1,,,,,,,
75,B,5.0,0.95932,0.94528,1.53834,13.83886,-0.933364,0.1832,0.55825,4.39e-05,20.5,0.3666,0.638,0.8486,0.4946,0.5298,0.5563,0.4737
76,B,5.0,0.95857,0.94524,1.53741,13.83888,-0.933524,0.182472,,4.07e-05,20.0,,,,,,,
77,B,5.0,0.95757,0.94514,1.5363,13.83888,-0.933937,0.181702,,3.75e-05,20.3,,,,,,,
78,B,5.0,0.95714,0.94508,1.53583,13.83882,-0.933967,0.181116,,3.44e-05,20.3,,,,,,,
79,B,5.0,0.95719,0.94512,1.53586,13.83891,-0.933706,0.180654,,3.15e-05,20.3,,,,,,,
80,B,5.0,0.95822,0.94516,1.53753,13.83588,-0.935195,0.184431,0.55296,2.86e-05,19.9,0.3652,0.6292,0.8346,0.504,0.5265,0.5439,0.4674
81,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.59e-05,0.0,,,,,,,
82,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.34e-05,0.0,,,,,,,
83,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.09e-05,0.0,,,,,,,
84,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.86e-05,0.0,,,,,,,
85,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55296,1.63e-05,0.0,0.3652,0.6292,0.8346,0.504,0.5265,0.5439,0.4674
86,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.43e-05,0.0,,,,,,,
87,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.23e-05,0.0,,,,,,,
88,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.05e-05,0.0,,,,,,,
89,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.9e-06,0.0,,,,,,,
90,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55296,7.3e-06,0.0,0.3652,0.6292,0.8346,0.504,0.5265,0.5439,0.4674
91,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,6e-06,0.0,,,,,,,
92,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.7e-06,0.0,,,,,,,
93,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.6e-06,0.0,,,,,,,
94,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.7e-06,0.0,,,,,,,
95,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55296,1.8e-06,0.0,0.3652,0.6292,0.8346,0.504,0.5265,0.5439,0.4674
96,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.2e-06,0.0,,,,,,,
97,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,7e-07,0.0,,,,,,,
98,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,3e-07,0.0,,,,,,,
99,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,1e-07,0.0,,,,,,,
100,C,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55296,0.0,0.0,0.3652,0.6292,0.8346,0.504,0.5265,0.5439,0.4674
