epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.51265,0.96971,2.0556,0.0,0.0,0.0,0.01254,0.0002999,14.1,0.0598,0.0,0.0021,0.0,0.0,0.0259,0.0
2,A,5.0,1.50616,0.96919,2.04312,0.0,0.0,0.0,,0.0002997,13.7,,,,,,,
3,A,5.0,1.5032,0.96894,2.03747,0.0,0.0,0.0,,0.0002993,13.9,,,,,,,
4,A,5.0,1.49973,0.96869,2.03077,0.0,0.0,0.0,,0.0002988,14.1,,,,,,,
5,A,5.0,1.49667,0.96845,2.02489,0.0,0.0,0.0,0.0064,0.0002982,14.1,0.0,0.0,0.0,0.0,0.0,0.0448,0.0
6,A,5.0,1.49436,0.96828,2.02044,0.0,0.0,0.0,,0.0002973,14.1,,,,,,,
7,A,5.0,1.49111,0.96805,2.01417,0.0,0.0,0.0,,0.0002964,14.3,,,,,,,
8,A,5.0,1.48934,0.9679,2.01078,0.0,0.0,0.0,,0.0002953,14.1,,,,,,,
9,A,5.0,1.4868,0.96769,2.00591,0.0,0.0,0.0,,0.000294,14.1,,,,,,,
10,A,5.0,1.48467,0.96752,2.00182,0.0,0.0,0.0,0.02338,0.0002927,14.2,0.0,0.0,0.0008,0.0,0.0948,0.0675,0.0006
11,A,5.0,1.48174,0.96729,1.99619,0.0,0.0,0.0,,0.0002911,14.2,,,,,,,
12,A,5.0,1.47973,0.96709,1.99237,0.0,0.0,0.0,,0.0002895,14.4,,,,,,,
13,A,5.0,1.47747,0.96693,1.98802,0.0,0.0,0.0,,0.0002877,14.5,,,,,,,
14,A,5.0,1.47685,0.96689,1.9868,0.0,0.0,0.0,,0.0002857,14.2,,,,,,,
15,A,5.0,1.47598,0.96678,1.98519,0.0,0.0,0.0,0.07861,0.0002837,14.3,0.034,0.0,0.1779,0.0013,0.164,0.158,0.015
16,A,5.0,1.47243,0.96653,1.97833,0.0,0.0,0.0,,0.0002814,14.0,,,,,,,
17,A,5.0,1.47026,0.96634,1.97418,0.0,0.0,0.0,,0.0002791,14.1,,,,,,,
18,A,5.0,1.46907,0.96626,1.97188,0.0,0.0,0.0,,0.0002766,14.0,,,,,,,
