epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,5.0,1.49291,0.96834,2.01749,0.0,0.0,0.0,0.23703,0.0002999,14.9,0.1838,0.3223,0.3543,0.0207,0.3629,0.3689,0.0464
2,A,5.0,1.45284,0.96559,1.94009,0.0,0.0,0.0,,0.0002997,14.5,,,,,,,
3,A,5.0,1.42949,0.96381,1.89517,0.0,0.0,0.0,,0.0002993,14.5,,,,,,,
4,A,5.0,1.41176,0.96238,1.86115,0.0,0.0,0.0,,0.0002988,14.7,,,,,,,
5,A,5.0,1.39837,0.96135,1.83539,0.0,0.0,0.0,0.43441,0.0002982,14.6,0.2704,0.3512,0.8452,0.3202,0.5596,0.448,0.2462
6,A,5.0,1.38583,0.96021,1.81146,0.0,0.0,0.0,,0.0002973,14.7,,,,,,,
7,A,5.0,1.37473,0.95921,1.79025,0.0,0.0,0.0,,0.0002964,14.8,,,,,,,
8,A,5.0,1.36345,0.95816,1.76875,0.0,0.0,0.0,,0.0002953,14.7,,,,,,,
9,A,5.0,1.35372,0.95725,1.75019,0.0,0.0,0.0,,0.000294,14.7,,,,,,,
10,A,5.0,1.34372,0.95635,1.73109,0.0,0.0,0.0,0.49042,0.0002927,14.7,0.2722,0.5881,0.8755,0.3691,0.4497,0.611,0.2674
11,A,5.0,1.33466,0.95547,1.71384,0.0,0.0,0.0,,0.0002911,14.7,,,,,,,
12,A,5.0,1.32671,0.95464,1.69878,0.0,0.0,0.0,,0.0002895,14.8,,,,,,,
13,A,5.0,1.31892,0.95384,1.684,0.0,0.0,0.0,,0.0002877,14.7,,,,,,,
14,A,5.0,1.31182,0.9531,1.67055,0.0,0.0,0.0,,0.0002857,14.8,,,,,,,
15,A,5.0,1.3055,0.95244,1.65857,0.0,0.0,0.0,0.56114,0.0002837,14.8,0.3461,0.6854,0.8656,0.465,0.5629,0.683,0.32
16,A,5.0,1.30013,0.95184,1.64842,0.0,0.0,0.0,,0.0002814,14.8,,,,,,,
17,A,5.0,1.29339,0.95122,1.63557,0.0,0.0,0.0,,0.0002791,14.9,,,,,,,
18,A,5.0,1.28841,0.95057,1.62625,0.0,0.0,0.0,,0.0002766,14.8,,,,,,,
19,A,5.0,1.2829,0.94991,1.61589,0.0,0.0,0.0,,0.0002741,14.9,,,,,,,
20,A,5.0,1.27836,0.94945,1.60727,0.0,0.0,0.0,0.57636,0.0002714,14.8,0.3699,0.7032,0.7434,0.5505,0.6456,0.6885,0.3333
21,B,5.0,1.02868,0.953,1.66729,6.87875,-0.897803,0.394609,,0.0002685,17.1,,,,,,,
22,B,5.0,0.9985,0.95172,1.64205,6.89326,-0.905087,0.340887,,0.0002656,16.9,,,,,,,
23,B,5.0,0.97862,0.95067,1.62364,6.89866,-0.911128,0.312176,,0.0002625,17.3,,,,,,,
24,B,5.0,0.96691,0.94991,1.61194,6.90215,-0.912732,0.293301,,0.0002593,17.3,,,,,,,
25,B,5.0,0.95807,0.94941,1.60257,6.9042,-0.913453,0.279067,0.56531,0.0002561,17.2,0.3625,0.6239,0.8518,0.5487,0.5838,0.6421,0.3444
26,B,5.0,0.95025,0.94892,1.59444,6.90466,-0.914953,0.267993,,0.0002527,17.2,,,,,,,
27,B,5.0,0.94603,0.94864,1.58935,6.90499,-0.913847,0.259619,,0.0002492,17.2,,,,,,,
28,B,5.0,0.93885,0.94818,1.582,6.90424,-0.916643,0.252144,,0.0002456,17.3,,,,,,,
29,B,5.0,0.9337,0.94779,1.57627,6.90305,-0.917602,0.245782,,0.0002419,16.9,,,,,,,
30,B,5.0,0.94779,0.94939,1.60106,6.90947,-0.926933,0.267755,0.47312,0.0002382,16.9,0.2325,0.6486,0.5369,0.4946,0.4707,0.6245,0.3042
31,B,5.0,0.94061,0.9489,1.59356,6.91268,-0.927194,0.255384,,0.0002343,16.7,,,,,,,
32,B,5.0,0.93467,0.94848,1.58684,6.91507,-0.927507,0.246425,,0.0002304,16.8,,,,,,,
33,B,5.0,0.92841,0.94797,1.57962,6.91655,-0.928376,0.238546,,0.0002264,16.9,,,,,,,
34,B,5.0,0.92422,0.94767,1.57427,6.91778,-0.927968,0.232206,,0.0002223,16.8,,,,,,,
35,B,5.0,0.91937,0.94727,1.56812,6.91835,-0.928276,0.226514,0.54055,0.0002181,16.7,0.2749,0.6504,0.8443,0.4571,0.4736,0.6759,0.4077
36,B,5.0,0.91552,0.94696,1.5634,6.919,-0.92861,0.221823,,0.0002139,16.7,,,,,,,
37,B,5.0,0.91167,0.94662,1.55807,6.91909,-0.928364,0.217249,,0.0002096,16.7,,,,,,,
38,B,5.0,0.9086,0.94631,1.55425,6.91935,-0.928568,0.213659,,0.0002052,16.8,,,,,,,
39,B,5.0,0.90577,0.94614,1.55047,6.91903,-0.928763,0.210636,,0.0002008,16.9,,,,,,,
40,B,5.0,0.91509,0.94702,1.56493,6.91489,-0.932324,0.224512,0.58117,0.0001964,16.7,0.3577,0.6495,0.8638,0.571,0.5824,0.6673,0.3766
41,B,5.0,0.90976,0.94657,1.55893,6.91624,-0.93292,0.217232,,0.0001918,16.7,,,,,,,
42,B,5.0,0.9068,0.94644,1.55477,6.91776,-0.932008,0.212079,,0.0001873,16.9,,,,,,,
43,B,5.0,0.90306,0.9461,1.55034,6.91855,-0.932375,0.207359,,0.0001827,16.8,,,,,,,
44,B,5.0,0.90042,0.94595,1.54688,6.9196,-0.932067,0.203395,,0.0001781,16.7,,,,,,,
45,B,5.0,0.89683,0.94554,1.54272,6.91975,-0.932786,0.19955,0.55644,0.0001735,16.9,0.3816,0.6313,0.7937,0.5271,0.5384,0.6649,0.358
46,B,5.0,0.89474,0.94533,1.53942,6.9202,-0.931814,0.196298,,0.0001688,16.9,,,,,,,
47,B,5.0,0.89214,0.94512,1.53603,6.92019,-0.931999,0.193436,,0.0001641,16.9,,,,,,,
48,B,5.0,0.89034,0.94496,1.53305,6.9204,-0.931132,0.190785,,0.0001594,16.8,,,,,,,
49,B,5.0,0.88768,0.9447,1.53003,6.92038,-0.932044,0.188554,,0.0001547,16.6,,,,,,,
50,B,5.0,0.89542,0.9454,1.54115,6.92219,-0.934678,0.201029,0.58284,0.00015,16.9,0.382,0.6355,0.8744,0.5617,0.5665,0.6602,0.3997
51,B,5.0,0.8934,0.94535,1.53844,6.92351,-0.933911,0.19691,,0.0001453,16.5,,,,,,,
52,B,5.0,0.89049,0.94502,1.53491,6.92427,-0.93403,0.193168,,0.0001406,16.6,,,,,,,
53,B,5.0,0.88841,0.94488,1.53197,6.92487,-0.933557,0.190065,,0.0001359,16.6,,,,,,,
54,B,5.0,0.88639,0.94459,1.52964,6.9252,-0.933594,0.187309,,0.0001312,16.5,,,,,,,
55,B,5.0,0.88486,0.94461,1.52717,6.92569,-0.933038,0.184902,0.59565,0.0001265,16.7,0.3723,0.6843,0.7804,0.5869,0.6302,0.6794,0.4359
56,B,5.0,0.8826,0.94434,1.52483,6.92596,-0.933755,0.182539,,0.0001219,16.7,,,,,,,
57,B,5.0,0.88106,0.94416,1.52257,6.92605,-0.933347,0.180443,,0.0001173,17.0,,,,,,,
58,B,5.0,0.87938,0.944,1.52044,6.92602,-0.93344,0.178474,,0.0001127,16.9,,,,,,,
59,B,5.0,0.87809,0.94391,1.51872,6.92622,-0.933356,0.176771,,0.0001082,17.1,,,,,,,
60,B,5.0,0.88282,0.94437,1.5244,6.92902,-0.934117,0.184811,0.60552,0.0001036,16.8,0.4135,0.6331,0.863,0.6066,0.6205,0.6537,0.4483
