epoch,phase,T,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,attn_w_L1,attn_w_L2,attn_w_L3,attn_w_L4,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
45,B,3.628,1.60773,0.9451,1.53852,73.45415,-0.92716,0.379837,0.56828,0.0001735,39.6,0.0,0.0,0.0,1.0,0.3929,0.6653,0.9068,0.4986,0.5367,0.5898,0.3878
46,B,3.546,1.60277,0.9449,1.53476,73.29337,-0.929447,0.378883,,0.0001688,39.7,,,,,,,,,,,
47,B,3.466,1.59919,0.94466,1.53195,73.13687,-0.930084,0.378237,,0.0001641,39.8,,,,,,,,,,,
48,B,3.387,1.59683,0.94466,1.5302,73.00007,-0.93,0.377586,,0.0001594,40.6,,,,,,,,,,,
49,B,3.311,1.59294,0.94448,1.52685,72.86114,-0.931023,0.376713,,0.0001547,40.7,,,,,,,,,,,
50,B,3.236,1.59415,0.94455,1.53042,72.72659,-0.931936,0.381492,0.55962,0.00015,39.8,0.0,0.0,0.0,1.0,0.3212,0.6716,0.8972,0.4755,0.5556,0.5965,0.3997
51,B,3.162,1.58829,0.94414,1.52602,72.53061,-0.934083,0.379791,,0.0001453,39.8,,,,,,,,,,,
52,B,3.091,1.58772,0.94435,1.52639,72.38497,-0.932572,0.379137,,0.0001406,39.8,,,,,,,,,,,
53,B,3.021,1.58284,0.9441,1.52224,72.24696,-0.93462,0.378038,,0.0001359,39.8,,,,,,,,,,,
54,B,2.952,1.58108,0.94402,1.5208,72.13213,-0.933873,0.377134,,0.0001312,39.8,,,,,,,,,,,
55,B,2.885,1.57741,0.94382,1.518,72.01144,-0.935342,0.376211,0.57109,0.0001265,39.7,0.0,0.0,0.0,1.0,0.3554,0.6123,0.907,0.5273,0.5564,0.5874,0.4519
56,B,2.82,1.57521,0.94366,1.51653,71.89397,-0.935559,0.375813,,0.0001219,39.7,,,,,,,,,,,
57,B,2.756,1.5723,0.94347,1.51444,71.78965,-0.936568,0.374943,,0.0001173,39.7,,,,,,,,,,,
58,B,2.694,1.57011,0.94335,1.51282,71.68339,-0.93684,0.374416,,0.0001127,39.7,,,,,,,,,,,
59,B,2.633,1.56863,0.94331,1.51205,71.59711,-0.936884,0.373695,,0.0001082,39.6,,,,,,,,,,,
60,B,2.573,1.57091,0.94351,1.51459,71.64656,-0.937639,0.376846,0.57117,0.0001036,39.7,0.0,0.0,0.0,1.0,0.3708,0.6424,0.8862,0.5403,0.5491,0.6082,0.4012
61,B,2.515,1.56818,0.94343,1.51228,71.52467,-0.93788,0.376059,,9.92e-05,39.6,,,,,,,,,,,
62,B,2.458,1.56572,0.94324,1.51085,71.42406,-0.938572,0.374893,,9.48e-05,40.3,,,,,,,,,,,
