level,class_idx,class_name,proto_idx,baseline_dice,ablated_dice,dice_drop
4,5,Myo,0,0.686024344229721,0.6693618410008991,0.0166625032288219
4,3,LA,1,0.686024344229721,0.6724257808166928,0.01359856341302823
4,1,LV,1,0.686024344229721,0.678882569040942,0.007141775188779009
4,7,PA,1,0.686024344229721,0.6791523413184424,0.006872002911278652
4,6,Aorta,1,0.686024344229721,0.6854659169941467,0.0005584272355743103
4,4,RA,1,0.686024344229721,0.6855265901453171,0.0004977540844038897
4,2,RV,0,0.686024344229721,0.6856012826042179,0.0004230616255030961
4,2,RV,1,0.686024344229721,0.6856021685319772,0.0004221756977438318
4,6,Aorta,0,0.686024344229721,0.6856206415651465,0.0004037026645745678
4,4,RA,0,0.686024344229721,0.6856463402463769,0.00037800398334408847
4,5,Myo,1,0.686024344229721,0.6858921775312565,0.00013216669846449758
4,3,LA,0,0.686024344229721,0.6858929877554494,0.00013135647427164887
4,1,LV,0,0.686024344229721,0.6859182289048386,0.000106115324882472
4,7,PA,0,0.686024344229721,0.6859309627606182,9.338146910287115e-05
