level,class_idx,class_name,proto_idx,compactness,level_threshold
4,1,LV,0,0.4673930711982664,0.25
4,1,LV,1,0.7078009361077932,0.25
4,2,RV,0,0.6639739422758749,0.25
4,2,RV,1,0.5312800131553461,0.25
4,3,LA,0,0.40855927900834516,0.25
4,3,LA,1,0.5639958657509039,0.25
4,4,RA,0,0.6771610354589037,0.25
4,4,RA,1,0.5333099995762849,0.25
4,5,Myo,0,0.5369990640435337,0.25
4,5,Myo,1,0.3976624544001808,0.25
4,6,Aorta,0,0.6514607894519144,0.25
4,6,Aorta,1,0.5325820229270242,0.25
4,7,PA,0,0.4922599477216232,0.25
4,7,PA,1,0.7326195141500678,0.25
