level,class_idx,class_name,proto_idx,baseline_dice,ablated_dice,dice_drop
4,1,LV,0,0.7229077504030871,0.7154308556875196,0.00747689471556745
4,4,RA,1,0.7229077504030871,0.7154355062136998,0.0074722441893873
4,7,PA,1,0.7229077504030871,0.715438706514637,0.007469043888450044
4,2,RV,0,0.7229077504030871,0.7154405862640075,0.007467164139079552
4,6,Aorta,1,0.7229077504030871,0.7154502920761077,0.007457458326979416
4,5,Myo,0,0.7229077504030871,0.7154638706862644,0.007443879716822699
4,3,LA,1,0.7229077504030871,0.7154759914251774,0.007431758977909708
4,7,PA,0,0.7229077504030871,0.7161309217762667,0.006776828626820386
4,4,RA,0,0.7229077504030871,0.7161476775855531,0.006760072817533991
4,5,Myo,1,0.7229077504030871,0.7163666638837097,0.006541086519377348
4,6,Aorta,0,0.7229077504030871,0.7208261234968079,0.0020816269062792214
4,2,RV,1,0.7229077504030871,0.720967247998725,0.0019405024043620545
4,1,LV,1,0.7229077504030871,0.7209944029605658,0.0019133474425212516
4,3,LA,0,0.7229077504030871,0.7210005288793391,0.001907221523748004
3,5,Myo,1,0.7229077504030871,0.7229483466351274,-4.0596232040335245e-05
3,1,LV,1,0.7229077504030871,0.722950886708533,-4.313630544594549e-05
3,3,LA,0,0.7229077504030871,0.7229511088515908,-4.335844850367199e-05
3,4,RA,0,0.7229077504030871,0.7229527785828099,-4.5028179722850226e-05
3,6,Aorta,1,0.7229077504030871,0.7229591608658296,-5.141046274248495e-05
3,2,RV,1,0.7229077504030871,0.7229631578033567,-5.540740026965807e-05
3,7,PA,1,0.7229077504030871,0.7229639660071484,-5.6215604061327085e-05
3,5,Myo,0,0.7229077504030871,0.7255284959742029,-0.002620745571115801
3,2,RV,0,0.7229077504030871,0.7255380751487873,-0.002630324745700241
3,4,RA,1,0.7229077504030871,0.7255483998411983,-0.0026406494381112644
3,1,LV,0,0.7229077504030871,0.7255559621004074,-0.002648211697320324
3,7,PA,0,0.7229077504030871,0.7255646345551506,-0.0026568841520635544
3,6,Aorta,0,0.7229077504030871,0.7255706701987922,-0.0026629197957050987
3,3,LA,1,0.7229077504030871,0.7256135285873841,-0.0027057781842970696
