epoch,train_loss,train_dice_loss,train_ce_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
75,0.02931,0.03425,0.02438,0.81316,4.39e-05,81.0,0.6816,0.8177,0.8804,0.7781,0.8522,0.9391,0.7429
76,0.02916,0.03399,0.02433,,4.07e-05,80.6,,,,,,,
77,0.02894,0.03377,0.0241,,3.75e-05,80.9,,,,,,,
78,0.02859,0.03341,0.02376,,3.44e-05,80.6,,,,,,,
79,0.02832,0.03303,0.02362,,3.15e-05,80.8,,,,,,,
80,0.02808,0.03287,0.02329,0.82357,2.86e-05,80.7,0.7105,0.8229,0.8964,0.7842,0.8607,0.9394,0.7509
81,0.02809,0.03291,0.02326,,2.59e-05,80.6,,,,,,,
82,0.02782,0.03258,0.02306,,2.34e-05,80.7,,,,,,,
83,0.02758,0.03231,0.02285,,2.09e-05,81.0,,,,,,,
84,0.02751,0.03223,0.0228,,1.86e-05,80.8,,,,,,,
85,0.02743,0.03221,0.02265,0.82164,1.63e-05,80.8,0.707,0.8167,0.8907,0.7868,0.8583,0.9401,0.7519
86,0.02726,0.03198,0.02253,,1.43e-05,80.7,,,,,,,
87,0.02699,0.03168,0.0223,,1.23e-05,80.6,,,,,,,
88,0.0269,0.03158,0.02221,,1.05e-05,80.9,,,,,,,
89,0.02686,0.03155,0.02217,,8.9e-06,81.0,,,,,,,
90,0.0269,0.03157,0.02222,0.81745,7.3e-06,81.2,0.698,0.8172,0.8869,0.7804,0.8522,0.94,0.7473
91,0.02666,0.03135,0.02196,,6e-06,80.7,,,,,,,
92,0.02664,0.03131,0.02196,,4.7e-06,80.9,,,,,,,
93,0.02657,0.03128,0.02186,,3.6e-06,80.7,,,,,,,
94,0.02643,0.03108,0.02177,,2.7e-06,80.8,,,,,,,
95,0.02642,0.03107,0.02178,0.81778,1.8e-06,80.7,0.6986,0.8175,0.8848,0.7795,0.8518,0.9408,0.7515
96,0.02646,0.03112,0.02181,,1.2e-06,80.4,,,,,,,
97,0.02636,0.03106,0.02166,,7e-07,80.9,,,,,,,
98,0.02639,0.0311,0.02167,,3e-07,81.5,,,,,,,
99,0.0265,0.03132,0.02169,,1e-07,86.7,,,,,,,
100,0.0264,0.03103,0.02177,0.81908,0.0,84.7,0.7025,0.8196,0.8872,0.7804,0.8532,0.9403,0.7504
