epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
65,B,2.60958,0.07834,0.06215,253.93307,0.78973,8.19e-05,42.9,0.6659,0.8335,0.8812,0.7446,0.816,0.9118,0.6753
66,B,2.60243,0.07568,0.05962,253.47797,,7.77e-05,42.9,,,,,,,
67,B,2.6002,0.07681,0.0596,253.19882,,7.36e-05,42.9,,,,,,,
68,B,2.59622,0.07407,0.05837,253.00034,,6.96e-05,42.8,,,,,,,
69,B,2.59244,0.07298,0.05639,252.77558,,6.57e-05,42.8,,,,,,,
70,B,2.97325,0.07312,0.05653,290.84193,0.7468,6.18e-05,42.8,0.589,0.788,0.8467,0.6404,0.8034,0.9229,0.6372
71,B,2.75477,0.07214,0.05592,269.07425,,5.81e-05,42.7,,,,,,,
72,B,2.74494,0.07228,0.05485,268.1373,,5.44e-05,42.8,,,,,,,
73,B,2.73864,0.07047,0.05376,267.65261,,5.08e-05,42.9,,,,,,,
74,B,2.73552,0.07009,0.05366,267.36463,,4.73e-05,42.9,,,,,,,
75,B,2.73189,0.06912,0.05245,267.11017,0.73801,4.39e-05,42.9,0.5429,0.8113,0.7679,0.6805,0.7858,0.9156,0.6621
76,B,2.72914,0.06868,0.0525,266.85497,,4.07e-05,42.8,,,,,,,
77,B,2.72524,0.06691,0.0506,266.64871,,3.75e-05,42.8,,,,,,,
78,B,2.72287,0.06691,0.05002,266.44005,,3.44e-05,42.8,,,,,,,
79,B,2.72051,0.06576,0.04985,266.27024,,3.15e-05,42.9,,,,,,,
80,B,7.43907,0.11994,0.15605,730.10707,0.77087,2.86e-05,42.7,0.6351,0.8192,0.8978,0.6499,0.8268,0.9093,0.658
81,C,4.30838,0.08958,0.0761,422.55399,,2.59e-05,25.2,,,,,,,
82,C,4.30483,0.08614,0.07105,422.62425,,2.34e-05,25.3,,,,,,,
83,C,4.30435,0.08591,0.07053,422.61302,,2.09e-05,25.3,,,,,,,
84,C,4.3023,0.08391,0.06854,422.6076,,1.86e-05,25.1,,,,,,,
85,C,4.30238,0.08374,0.06746,422.67716,0.78376,1.63e-05,25.2,0.648,0.8216,0.8997,0.6966,0.8434,0.9084,0.6687
86,C,4.29992,0.08284,0.06642,422.52881,,1.43e-05,25.1,,,,,,,
87,C,4.30053,0.08242,0.06618,422.62272,,1.23e-05,25.2,,,,,,,
88,C,4.30105,0.0827,0.06703,422.61918,,1.05e-05,25.1,,,,,,,
89,C,4.30172,0.08198,0.06656,422.74497,,8.9e-06,25.2,,,,,,,
90,C,4.30097,0.08342,0.06704,422.57422,0.78638,7.3e-06,25.1,0.6623,0.815,0.8985,0.7059,0.8497,0.9076,0.6656
91,C,4.29885,0.08167,0.06574,422.51461,,6e-06,25.2,,,,,,,
92,C,4.29912,0.08188,0.06505,422.56583,,4.7e-06,25.1,,,,,,,
93,C,4.29832,0.08105,0.06538,422.51007,,3.6e-06,25.3,,,,,,,
94,C,4.29894,0.08162,0.0651,422.55866,,2.7e-06,25.1,,,,,,,
95,C,4.29888,0.08148,0.06498,422.56478,0.77927,1.8e-06,25.1,0.6468,0.8188,0.8984,0.6802,0.8426,0.9081,0.66
96,C,4.29786,0.08092,0.06527,422.47624,,1.2e-06,25.1,,,,,,,
97,C,4.29919,0.08085,0.0651,422.62193,,7e-07,25.3,,,,,,,
98,C,4.29828,0.08124,0.06499,422.51683,,3e-07,25.2,,,,,,,
99,C,4.29778,0.08104,0.06526,422.46321,,1e-07,25.1,,,,,,,
100,C,4.29854,0.0807,0.065,422.56986,0.78346,0.0,25.3,0.654,0.8161,0.9002,0.698,0.8464,0.9063,0.6633
