epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
53,B,0.41399,0.0813,0.06506,585.34256,-0.931531,0.884931,,0.0001359,51.1,,,,,,,
54,B,0.39275,0.08005,0.06403,565.40122,-0.93246,0.886154,,0.0001312,50.6,,,,,,,
55,B,0.3757,0.07828,0.06373,549.7382,-0.933766,0.887331,0.80036,0.0001265,50.6,0.6822,0.8561,0.908,0.7531,0.85,0.899,0.6543
56,B,0.36156,0.07872,0.06264,535.88539,-0.933781,0.887522,,0.0001219,50.7,,,,,,,
57,B,0.34696,0.07772,0.06246,522.21124,-0.934912,0.888448,,0.0001173,50.7,,,,,,,
58,B,0.33226,0.07566,0.06007,510.07531,-0.936125,0.889543,,0.0001127,50.6,,,,,,,
59,B,0.32277,0.07645,0.05987,500.51042,-0.936758,0.889928,,0.0001082,50.7,,,,,,,
60,B,0.38218,0.07547,0.0603,562.661,-0.938425,0.883383,0.76322,0.0001036,51.6,0.6445,0.8242,0.894,0.6412,0.8078,0.8958,0.6351
61,B,0.3521,0.07327,0.0589,534.5725,-0.940245,0.886259,,9.92e-05,51.2,,,,,,,
62,B,0.33552,0.0734,0.05685,518.78251,-0.940779,0.888016,,9.48e-05,51.1,,,,,,,
63,B,0.32163,0.07213,0.0579,505.35628,-0.942456,0.889963,,9.04e-05,51.2,,,,,,,
64,B,0.31059,0.07188,0.05773,494.57144,-0.942547,0.889932,,8.61e-05,51.2,,,,,,,
65,B,0.2973,0.07055,0.05512,483.50343,-0.943582,0.891007,0.80056,8.19e-05,51.0,0.6962,0.8342,0.899,0.7339,0.8524,0.8849,0.7034
66,B,0.28837,0.07016,0.05491,474.90829,-0.944027,0.891741,,7.77e-05,51.0,,,,,,,
67,B,0.27862,0.06889,0.05331,466.69081,-0.944652,0.892623,,7.36e-05,51.0,,,,,,,
68,B,0.27046,0.06752,0.05192,460.0035,-0.945102,0.89314,,6.96e-05,50.9,,,,,,,
69,B,0.26367,0.06746,0.05227,453.25624,-0.945557,0.893303,,6.57e-05,51.2,,,,,,,
70,B,0.27913,0.06626,0.0512,470.75956,-0.946377,0.891312,0.80573,6.18e-05,51.7,0.7002,0.8126,0.9147,0.7552,0.8689,0.8805,0.708
71,B,0.26765,0.06516,0.05013,460.51973,-0.947664,0.893267,,5.81e-05,51.1,,,,,,,
72,B,0.25938,0.06515,0.04986,452.45392,-0.948302,0.894266,,5.44e-05,51.1,,,,,,,
73,B,0.25207,0.06409,0.0485,446.51157,-0.948904,0.894837,,5.08e-05,50.9,,,,,,,
74,B,0.24526,0.0635,0.04793,440.32279,-0.949325,0.895543,,4.73e-05,51.1,,,,,,,
75,B,0.23845,0.06218,0.04646,435.27943,-0.950189,0.895795,0.81728,4.39e-05,51.0,0.7119,0.8345,0.9288,0.7807,0.8613,0.9185,0.6853
76,B,0.23452,0.06208,0.04717,431.01815,-0.95028,0.896062,,4.07e-05,51.2,,,,,,,
77,B,0.23045,0.06197,0.04739,427.05469,-0.950665,0.896201,,3.75e-05,51.1,,,,,,,
78,B,0.2261,0.06121,0.04605,423.874,-0.951006,0.896372,,3.44e-05,51.0,,,,,,,
79,B,0.22085,0.06011,0.04457,420.06481,-0.951557,0.896881,,3.15e-05,51.1,,,,,,,
80,B,0.25002,0.05962,0.04432,450.29028,-0.95188,0.894792,0.80629,2.86e-05,51.4,0.7137,0.8129,0.9219,0.7478,0.8612,0.8932,0.6934
81,C,0.2466,0.05926,0.04336,447.21753,-0.951304,0.894923,,2.59e-05,29.8,,,,,,,
82,C,0.24465,0.05837,0.04276,446.15016,-0.95173,0.895181,,2.34e-05,29.8,,,,,,,
83,C,0.24393,0.05766,0.04211,446.15175,-0.951852,0.895297,,2.09e-05,30.0,,,,,,,
84,C,0.24398,0.05804,0.04193,446.19794,-0.951938,0.895069,,1.86e-05,29.8,,,,,,,
85,C,0.24366,0.05718,0.04172,446.40838,-0.951923,0.895048,0.80949,1.63e-05,29.8,0.726,0.824,0.927,0.7474,0.8568,0.8974,0.6879
86,C,0.24316,0.05729,0.04157,445.92123,-0.951961,0.895162,,1.43e-05,29.9,,,,,,,
87,C,0.24357,0.05717,0.04155,446.32582,-0.951742,0.895009,,1.23e-05,29.9,,,,,,,
88,C,0.2449,0.05758,0.04201,447.05061,-0.951365,0.894968,,1.05e-05,29.9,,,,,,,
89,C,0.24405,0.05688,0.04174,446.64118,-0.95136,0.895097,,8.9e-06,29.9,,,,,,,
90,C,0.24276,0.05675,0.04091,446.02388,-0.951844,0.895291,0.81494,7.3e-06,29.9,0.7223,0.8372,0.9263,0.7625,0.8626,0.8944,0.6991
91,C,0.24371,0.05625,0.04106,447.08813,-0.951563,0.895011,,6e-06,30.0,,,,,,,
92,C,0.24325,0.05676,0.04104,446.40317,-0.951654,0.8951,,4.7e-06,31.0,,,,,,,
93,C,0.24304,0.05639,0.04121,446.34739,-0.951822,0.895184,,3.6e-06,31.2,,,,,,,
94,C,0.24355,0.05654,0.04102,446.73031,-0.951414,0.894971,,2.7e-06,32.1,,,,,,,
95,C,0.24285,0.05661,0.04068,446.3183,-0.951904,0.895348,0.81491,1.8e-06,31.7,0.7225,0.8365,0.9255,0.7528,0.8632,0.9002,0.7037
96,C,0.24421,0.05648,0.04103,447.44372,-0.951351,0.89473,,1.2e-06,31.7,,,,,,,
97,C,0.24281,0.0562,0.04084,446.36884,-0.951729,0.895146,,7e-07,31.7,,,,,,,
98,C,0.24319,0.05637,0.04101,446.56577,-0.951629,0.895005,,3e-07,31.5,,,,,,,
99,C,0.24339,0.05648,0.04091,446.66518,-0.95144,0.895007,,1e-07,31.7,,,,,,,
100,C,0.24406,0.05644,0.04079,447.35024,-0.951254,0.894892,0.81333,0.0,31.5,0.7184,0.8371,0.9221,0.7504,0.862,0.9016,0.7018
