epoch,train_loss,train_dice_loss,train_ce_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
75,0.06696,0.0815,0.05243,0.81928,4.39e-05,41.8,0.8535,0.8322,0.9453,0.7844,0.8815,0.679,0.7591
76,0.06629,0.08054,0.05205,,4.07e-05,41.5,,,,,,,
77,0.06577,0.08016,0.05137,,3.75e-05,41.6,,,,,,,
78,0.06515,0.07956,0.05073,,3.44e-05,41.7,,,,,,,
79,0.06525,0.07956,0.05094,,3.15e-05,42.0,,,,,,,
80,0.06472,0.07895,0.0505,0.82464,2.86e-05,41.8,0.8441,0.8344,0.946,0.7986,0.8844,0.7013,0.7636
81,0.06422,0.07838,0.05006,,2.59e-05,41.5,,,,,,,
82,0.06399,0.0781,0.04989,,2.34e-05,41.7,,,,,,,
83,0.06428,0.07887,0.04969,,2.09e-05,41.7,,,,,,,
84,0.06323,0.07728,0.04918,,1.86e-05,41.7,,,,,,,
85,0.06315,0.07716,0.04915,0.82236,1.63e-05,41.8,0.8476,0.8381,0.9461,0.7947,0.8819,0.6844,0.7636
86,0.06282,0.07674,0.04889,,1.43e-05,41.5,,,,,,,
87,0.06281,0.07674,0.04888,,1.23e-05,41.6,,,,,,,
88,0.06207,0.076,0.04814,,1.05e-05,41.6,,,,,,,
89,0.06207,0.07579,0.04835,,8.9e-06,41.7,,,,,,,
90,0.06182,0.07547,0.04817,0.82125,7.3e-06,41.6,0.8482,0.8392,0.9462,0.7925,0.88,0.6805,0.7622
91,0.0622,0.0761,0.0483,,6e-06,41.4,,,,,,,
92,0.062,0.0759,0.0481,,4.7e-06,41.6,,,,,,,
93,0.06176,0.0757,0.04783,,3.6e-06,41.7,,,,,,,
94,0.06165,0.07554,0.04776,,2.7e-06,41.3,,,,,,,
95,0.06116,0.07467,0.04764,0.82074,1.8e-06,41.3,0.8458,0.8385,0.9454,0.7938,0.8809,0.6789,0.7619
96,0.06132,0.07487,0.04778,,1.2e-06,41.3,,,,,,,
97,0.06129,0.07523,0.04736,,7e-07,41.3,,,,,,,
98,0.0612,0.07471,0.04769,,3e-07,41.6,,,,,,,
99,0.06122,0.07489,0.04755,,1e-07,41.4,,,,,,,
100,0.06204,0.07671,0.04736,0.82091,0.0,41.4,0.847,0.8389,0.9458,0.7943,0.8799,0.6784,0.7621
