level,class_idx,class_name,proto_idx,max_activation,is_dead
1,1,LV,0,0.9973995685577393,False
1,1,LV,1,0.9993300437927246,False
1,1,LV,2,0.9988676309585571,False
1,1,LV,3,0.9888569712638855,False
1,2,RV,0,0.9993162155151367,False
1,2,RV,1,0.9993150234222412,False
1,2,RV,2,0.9993417859077454,False
1,2,RV,3,0.9906796813011169,False
1,3,LA,0,0.9992474317550659,False
1,3,LA,1,0.988009512424469,False
1,3,LA,2,0.9997242093086243,False
1,3,LA,3,0.9990382194519043,False
1,4,RA,0,0.999735414981842,False
1,4,RA,1,0.99872225522995,False
1,4,RA,2,0.9991474151611328,False
1,4,RA,3,0.982470691204071,False
1,5,Myo,0,0.9980904459953308,False
1,5,Myo,1,0.9989622831344604,False
1,5,Myo,2,0.998456597328186,False
1,5,Myo,3,0.9839046597480774,False
1,6,Aorta,0,0.9845125675201416,False
1,6,Aorta,1,0.9976094961166382,False
1,6,Aorta,2,0.9970712661743164,False
1,6,Aorta,3,0.9991161227226257,False
1,7,PA,0,0.9978362917900085,False
1,7,PA,1,0.9698196053504944,False
1,7,PA,2,0.9895787835121155,False
1,7,PA,3,0.997505247592926,False
2,1,LV,0,0.9981129169464111,False
2,1,LV,1,0.9959911704063416,False
2,1,LV,2,0.9793389439582825,False
2,2,RV,0,0.9898943305015564,False
2,2,RV,1,0.9973520040512085,False
2,2,RV,2,0.9947144389152527,False
2,3,LA,0,0.9987389445304871,False
2,3,LA,1,0.9972211122512817,False
2,3,LA,2,0.9780333638191223,False
2,4,RA,0,0.9966995120048523,False
2,4,RA,1,0.9964040517807007,False
2,4,RA,2,0.9975495934486389,False
2,5,Myo,0,0.9968608617782593,False
2,5,Myo,1,0.9964748024940491,False
2,5,Myo,2,0.9906730055809021,False
2,6,Aorta,0,0.9968379735946655,False
2,6,Aorta,1,0.9959596991539001,False
2,6,Aorta,2,0.9972334504127502,False
2,7,PA,0,0.9971752166748047,False
2,7,PA,1,0.9930197596549988,False
2,7,PA,2,0.9970378875732422,False
3,1,LV,0,0.9542385339736938,False
3,1,LV,1,0.9868671894073486,False
3,2,RV,0,0.9961200952529907,False
3,2,RV,1,0.9759942293167114,False
3,3,LA,0,0.9550279974937439,False
3,3,LA,1,0.9950674772262573,False
3,4,RA,0,0.9848688840866089,False
3,4,RA,1,0.9914685487747192,False
3,5,Myo,0,0.9925718903541565,False
3,5,Myo,1,0.9442528486251831,False
3,6,Aorta,0,0.9939658045768738,False
3,6,Aorta,1,0.982858419418335,False
3,7,PA,0,0.9918335676193237,False
3,7,PA,1,0.9807101488113403,False
4,1,LV,0,0.9869264364242554,False
4,1,LV,1,0.9656323194503784,False
4,2,RV,0,0.9891108870506287,False
4,2,RV,1,0.9940215945243835,False
4,3,LA,0,0.9894238114356995,False
4,3,LA,1,0.9576485753059387,False
4,4,RA,0,0.9831332564353943,False
4,4,RA,1,0.9907714128494263,False
4,5,Myo,0,0.9721965789794922,False
4,5,Myo,1,0.9790712594985962,False
4,6,Aorta,0,0.9834508895874023,False
4,6,Aorta,1,0.9832058548927307,False
4,7,PA,0,0.9900113940238953,False
4,7,PA,1,0.9757156372070312,False
