epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,train_alc_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,0.6228917331065772,0.7845251532095783,0.4612583127927105,0.0,0.0,0.0,0.0,,0.0002999259840548597,29.054563999176025,,,,,,,
2,A,0.3901600923459485,0.6114149431012711,0.16890523962254794,0.0,0.0,0.0,0.0,,0.0002997040092642407,28.431067943572998,,,,,,,
3,A,0.19047334013541914,0.2800331852346096,0.10091349475507466,0.0,0.0,0.0,0.0,,0.000299334294690462,28.145452976226807,,,,,,,
4,A,0.12082991499524072,0.15241370645334135,0.0892461231154091,0.0,0.0,0.0,0.0,,0.0002988172051971717,28.309992790222168,,,,,,,
5,A,0.09298017947881851,0.11082190359538456,0.0751384553095361,0.0,0.0,0.0,0.0,0.8036861504827227,0.00029815325108927063,28.303629875183105,0.6528319716453552,0.8679850697517395,0.8837057948112488,0.7705022692680359,0.8263351917266846,0.915951132774353,0.7084916234016418
6,A,0.07988836180489019,0.0936209500398276,0.06615577372810189,0.0,0.0,0.0,0.0,,0.00029734308760930326,28.46233105659485,,,,,,,
7,A,0.07552705965233299,0.08712917257030055,0.06392494650592781,0.0,0.0,0.0,0.0,,0.00029638751429081204,28.42686104774475,,,,,,,
8,A,0.07290627290758322,0.08305043853678794,0.0627621069796524,0.0,0.0,0.0,0.0,,0.0002952874741692946,28.510923862457275,,,,,,,
9,A,0.06868757084363473,0.07803814450524887,0.05933699691843874,0.0,0.0,0.0,0.0,,0.00029404405285154137,28.862775802612305,,,,,,,
10,A,0.06387386318155618,0.0728432980348479,0.05490442802953833,0.0,0.0,0.0,0.0,0.823602386883327,0.0002926584774442729,27.98394227027893,0.7093722224235535,0.870857298374176,0.9228362441062927,0.7927910089492798,0.8313935399055481,0.9247318506240845,0.713234543800354
11,A,0.06065399254197782,0.06929030958211647,0.05201767602900289,0.0,0.0,0.0,0.0,,0.00029113211534313374,27.970198154449463,,,,,,,
12,A,0.058900057566615774,0.06701340343592302,0.05078671176759702,0.0,0.0,0.0,0.0,,0.0002894664728832376,28.032068252563477,,,,,,,
13,A,0.05963730922777136,0.06724956013121695,0.05202505844733063,0.0,0.0,0.0,0.0,,0.0002876631938525971,27.99558711051941,,,,,,,
14,A,0.05630902301098378,0.06384809596358605,0.048769950058381514,0.0,0.0,0.0,0.0,,0.0002857240578699029,28.023284912109375,,,,,,,
15,A,0.05528267058280279,0.06283711431161412,0.04772822676613083,0.0,0.0,0.0,0.0,0.8105757917676654,0.00028365097862825513,28.009207725524902,0.6940335631370544,0.8563624620437622,0.9161800146102905,0.7749834656715393,0.8271933794021606,0.9075071811676025,0.6977704763412476
16,A,0.0531996603317137,0.060614963466266415,0.04578435693357913,0.0,0.0,0.0,0.0,,0.0002814460020065795,28.11208987236023,,,,,,,
17,A,0.05412746668916266,0.06115913700382664,0.04709579677865753,0.0,0.0,0.0,0.0,,0.0002791113040505915,28.11172580718994,,,,,,,
