epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,train_alc_loss,val_mean_fg_dice,lr,epoch_time_s,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,0.6203982399882011,0.7868496786873296,0.45394680353830447,0.0,0.0,0.0,0.0,,0.0002999259840548597,29.88610816001892,,,,,,,
2,A,0.3941842827875659,0.620368130926816,0.16800043542148932,0.0,0.0,0.0,0.0,,0.0002997040092642407,27.639473915100098,,,,,,,
3,A,0.20005707295154626,0.29035219465786555,0.10976195187782342,0.0,0.0,0.0,0.0,,0.000299334294690462,27.690507888793945,,,,,,,
4,A,0.12933630988282976,0.16189206040130472,0.09678055931163847,0.0,0.0,0.0,0.0,,0.0002988172051971717,27.619526863098145,,,,,,,
5,A,0.0893931150225536,0.10875939957375796,0.07002683059435408,0.0,0.0,0.0,0.0,0.8013260534831456,0.00029815325108927063,27.705809831619263,0.6940836310386658,0.8621686697006226,0.9216838479042053,0.7500388622283936,0.8142436742782593,0.9214734435081482,0.6455902457237244
6,A,0.07832048279848301,0.09272590054655974,0.06391506498011779,0.0,0.0,0.0,0.0,,0.00029734308760930326,27.88138484954834,,,,,,,
7,A,0.07281711437510995,0.08462329349427852,0.061010935132936484,0.0,0.0,0.0,0.0,,0.00029638751429081204,27.888373851776123,,,,,,,
8,A,0.06906038721285339,0.07923004537258509,0.058890729193698685,0.0,0.0,0.0,0.0,,0.0002952874741692946,27.88305377960205,,,,,,,
9,A,0.06639084940389642,0.07652551863553389,0.0562561802776917,0.0,0.0,0.0,0.0,,0.00029404405285154137,27.87738275527954,,,,,,,
10,A,0.06818444209770774,0.07709091845548378,0.05927796568721533,0.0,0.0,0.0,0.0,0.8115678940500531,0.0002926584774442729,27.858971118927002,0.6923434734344482,0.8666573762893677,0.9075295329093933,0.787102222442627,0.8315873742103577,0.9108485579490662,0.6849067211151123
11,A,0.06229703889210832,0.07077044979581293,0.05382362761060303,0.0,0.0,0.0,0.0,,0.00029113211534313374,27.959229946136475,,,,,,,
12,A,0.05940595654032703,0.06793168215256817,0.050880231007160444,0.0,0.0,0.0,0.0,,0.0002894664728832376,27.934520959854126,,,,,,,
13,A,0.05904701953086088,0.06733365244460555,0.050760386555613775,0.0,0.0,0.0,0.0,,0.0002876631938525971,27.918462991714478,,,,,,,
14,A,0.05777690549082351,0.06534524318182243,0.05020856763288941,0.0,0.0,0.0,0.0,,0.0002857240578699029,27.919193744659424,,,,,,,
15,A,0.06033865063679668,0.0682764283890994,0.05240087283177758,0.0,0.0,0.0,0.0,0.8168043494224548,0.00028365097862825513,27.92404007911682,0.7132101058959961,0.8640540242195129,0.8967574834823608,0.8092393279075623,0.8245982527732849,0.9084434509277344,0.7013278007507324
16,A,0.05406517489760552,0.06148317062629843,0.04664717904590773,0.0,0.0,0.0,0.0,,0.0002814460020065795,28.085886001586914,,,,,,,
17,A,0.054033171174661165,0.06104348993526315,0.04702285226469614,0.0,0.0,0.0,0.0,,0.0002791113040505915,28.041187047958374,,,,,,,
18,A,0.054489686224117595,0.06149944044509024,0.04747993188014008,0.0,0.0,0.0,0.0,,0.00027664918882530225,28.0570068359375,,,,,,,
19,A,0.051068745571065624,0.05815941039121376,0.043978080733345366,0.0,0.0,0.0,0.0,,0.00027406208614118424,28.030635833740234,,,,,,,
20,A,0.05086201634960917,0.05765698962616471,0.044067043037909384,0.0,0.0,0.0,0.0,0.8260701469012669,0.0002713525491562421,28.038456201553345,0.7272788882255554,0.8526949286460876,0.9194315671920776,0.767286479473114,0.8670873641967773,0.9235022664070129,0.7252095341682434
21,B,2.4382365182885586,0.2978359286515218,0.3716355087762734,2227.4378875156617,-0.461030531182604,0.42184927188000587,0.022315665262417413,,0.00026852325185635354,33.029074907302856,,,,,,,
