class_idx,class_name,ap
1,LV,0.41739069905963316
2,RV,0.33133963998099253
3,LA,0.2559644378844864
4,RA,0.38407055334734524
5,Myocardium,0.44872477077994466
6,Aorta,0.37492654735822817
7,PA,0.22962195145289513
