Model,Pixel Faith,Patch Faith (bs=16),Patch Faith (aligned),Ratio (patch/pixel)
"Stage 29 (skip, L3+L4)",0.069,0.21221336322364392,0.21221336322364392,3.0755559887484623
"9b (no-skip, L3+L4)",0.035,0.20025831416684173,0.20025831416684173,5.72166611905262
"9a (no-skip, L4)",0.012,0.2585020986982127,0.2585020986982127,21.541841558184395
"9L3 (no-skip, L3)",0.06,0.1586577374164914,0.20922795830762037,2.64429562360819
