epoch,phase,train_loss,train_dice_loss,train_ce_loss,train_div_loss,train_push_loss,train_pull_loss,val_mean_fg_dice,lr,epoch_time_s,pruned_levels,val_dice_LV,val_dice_RV,val_dice_LA,val_dice_RA,val_dice_Myocardium,val_dice_Aorta,val_dice_PA
1,A,1.2446471955978646,0.9281412661075592,1.561153123401246,0.0,0.0,0.0,,0.0002999259840548597,46.01488995552063,[],,,,,,,
2,A,0.8453076979461706,0.808851310667002,0.8817640779153356,0.0,0.0,0.0,,0.0002997040092642407,45.45716691017151,[],,,,,,,
3,A,0.5277427550194398,0.5921707839336036,0.46331472568354515,0.0,0.0,0.0,,0.000299334294690462,45.514837980270386,[],,,,,,,
4,A,0.3387789084523354,0.37669136220554134,0.3008664555425914,0.0,0.0,0.0,,0.0002988172051971717,45.5503830909729,[],,,,,,,
5,A,0.25120681327468947,0.2717344777764015,0.23067914814038096,0.0,0.0,0.0,0.5784467927047184,0.00029815325108927063,45.42697501182556,[],0.40037035942077637,0.6549752950668335,0.7854906320571899,0.3465181291103363,0.5691197514533997,0.8195270299911499,0.4731263518333435
6,A,0.18653382079781228,0.20477667872635824,0.1682909637478725,0.0,0.0,0.0,,0.00029734308760930326,45.53363084793091,[],,,,,,,
7,A,0.15788215679942436,0.17237689050863375,0.14338742273877253,0.0,0.0,0.0,,0.00029638751429081204,45.46421813964844,[],,,,,,,
8,A,0.14567837059357255,0.1572941741291082,0.1340625669877484,0.0,0.0,0.0,,0.0002952874741692946,45.44690203666687,[],,,,,,,
9,A,0.12268678453873913,0.13520731903472036,0.11016624933987293,0.0,0.0,0.0,,0.00029404405285154137,45.43641996383667,[],,,,,,,
10,A,0.11753363007644438,0.12814113553964868,0.10692612499982682,0.0,0.0,0.0,0.7879323193005153,0.0002926584774442729,45.38921785354614,[],0.6358714699745178,0.8538581132888794,0.9044021964073181,0.7286627888679504,0.8302683234214783,0.9323057532310486,0.6301575899124146
11,A,0.10313818252311563,0.1140934853058941,0.09218287961733229,0.0,0.0,0.0,,0.00029113211534313374,46.14522409439087,[],,,,,,,
12,A,0.11231904729919613,0.12015643603396865,0.10448165849413511,0.0,0.0,0.0,,0.0002894664728832376,45.611433029174805,[],,,,,,,
13,A,0.10118654201615532,0.11082341620382273,0.0915496671783193,0.0,0.0,0.0,,0.0002876631938525971,45.605157136917114,[],,,,,,,
14,A,0.10011151172923592,0.10767550654006454,0.0925475168481188,0.0,0.0,0.0,,0.0002857240578699029,45.46753215789795,[],,,,,,,
15,A,0.10217319762791102,0.10974067590146694,0.09460571970579759,0.0,0.0,0.0,0.7843998670578003,0.00028365097862825513,45.695069789886475,[],0.6394134759902954,0.8505576848983765,0.9000130891799927,0.7090044617652893,0.8404771089553833,0.9231864809989929,0.628146767616272
16,A,0.0865303190811625,0.09563924175388408,0.07742139621514757,0.0,0.0,0.0,,0.0002814460020065795,46.369415044784546,[],,,,,,,
17,A,0.07759301552443572,0.08643013773099431,0.06875589370446385,0.0,0.0,0.0,,0.0002791113040505915,45.761983156204224,[],,,,,,,
18,A,0.07984941849871627,0.08804161677945335,0.07165722037612829,0.0,0.0,0.0,,0.00027664918882530225,45.76119017601013,[],,,,,,,
19,A,0.07387474453393018,0.08253086456712687,0.06521862395599766,0.0,0.0,0.0,,0.00027406208614118424,45.64622402191162,[],,,,,,,
20,A,0.07637181661952779,0.08444185695558223,0.06830177651191095,0.0,0.0,0.0,0.7967465264456612,0.0002713525491562421,45.51538395881653,[],0.6875503659248352,0.8518291115760803,0.9201183319091797,0.6616585850715637,0.8406073451042175,0.9404308199882507,0.6750311255455017
21,B,14.783550982205373,0.5593264226643544,0.8215597323581295,14214.519784603479,-0.4502472819865875,0.4148438243933444,,0.00026852325185635354,62.108827114105225,[],,,,,,,
22,B,9.863346509213718,0.3528037813474547,0.41989033261560044,9599.294903449292,-0.4597372810514468,0.430291141400922,,0.00026557698641636835,61.76357293128967,[],,,,,,,
23,B,8.447155529598021,0.2816867336349667,0.30883187259424405,8275.554436449735,-0.46606549465993663,0.43749681269785146,,0.0002625166604445689,62.06349992752075,[],,,,,,,
24,B,7.388814514538027,0.23538701770440587,0.2466536744866731,7273.2518310546875,-0.4729331533582705,0.44403426025835974,,0.0002593452941132117,62.21424412727356,[],,,,,,,
25,B,6.619825907473294,0.22032195863858708,0.22393058268529065,6524.905872272995,-0.4793004333129469,0.44977477488090406,0.6932992466858455,0.0002560660171779821,62.83877897262573,[],0.47974810004234314,0.8103891015052795,0.8553817272186279,0.600129246711731,0.7576862573623657,0.8408438563346863,0.508916437625885
26,B,5.963176842005748,0.19952767496963716,0.19664098983103373,5894.151942990861,-0.48596672306083283,0.4556945933485931,,0.0002526820658893033,62.75404620170593,[],,,,,,,
27,B,5.428930269097382,0.18378872916383562,0.17722197319820243,5379.543116155661,-0.49294536279619866,0.46141697058700165,,0.00024919677979854776,62.29552507400513,[],,,,,,,
28,B,4.969537138938904,0.17719744342677998,0.1691171432370847,4929.482094818691,-0.49975800781317475,0.4671060783120821,,0.00024561359846230347,62.04009032249451,[],,,,,,,
29,B,4.577456656491981,0.17228446450998197,0.16311516117234276,4544.690501087117,-0.5063026328131838,0.4728696634465793,,0.0002419360580479465,62.20503616333008,[],,,,,,,
