Model,weight_l2,purity_l2,ap_l2,compact_l2,weight_l4,purity_l4,ap_l4,compact_l4,effective_purity,effective_ap,effective_compactness,weight_l3,purity_l3,ap_l3,compact_l3
L2+L4 warmstart,0.7632926751759427,0.18476190476190477,0.08407325566448864,0.32100467464202315,0.23670732482405735,0.5457142857142857,0.22628322111399493,0.48171322404845685,0.2702019772460169,0.1177353961493629,0.3590455654483749,,,,
L2+L3+L4 warmstart,0.7402675723241381,0.16,0.03504744002980491,0.3330318581537204,0.13029051221106663,0.7085714285714285,0.13754237322118548,0.546400648925493,0.2677173887430707,0.05944644764437356,0.3885612476170909,0.12944191546479533,0.44,0.12037443963704213,0.5472550510374968
