epoch,phase,w_L1,w_L2,w_L3,w_L4
5,A,0.2624,0.282,0.2746,0.1809
10,A,0.2606,0.309,0.268,0.1624
15,A,0.2544,0.292,0.2721,0.1814
20,A,0.2525,0.2904,0.2728,0.1843
25,B,0.2539,0.3171,0.2608,0.1683
30,B,0.248,0.3219,0.2571,0.1729
35,B,0.0288,0.2719,0.1344,0.5649
40,B,0.0135,0.3577,0.0776,0.5511
45,B,0.0069,0.2979,0.0629,0.6323
