epoch,phase,temperature,w_L1,w_L2,w_L3,w_L4
5,A,5.0,0.2587,0.256,0.2547,0.2305
10,A,5.0,0.2599,0.2554,0.2538,0.231
15,A,5.0,0.2579,0.2555,0.255,0.2315
20,A,5.0,0.2583,0.2565,0.2537,0.2316
25,B,5.0,0.2542,0.2586,0.2521,0.2351
30,B,5.0,0.2533,0.2599,0.2526,0.2341
35,B,4.5,0.0907,0.3458,0.2935,0.2701
40,B,4.0,0.0475,0.47,0.2877,0.1948
45,B,3.5,0.0215,0.4764,0.3034,0.1987
50,B,3.0,0.0091,0.4422,0.3247,0.2241
55,B,2.5,0.003,0.4426,0.3425,0.2119
60,B,2.0,0.0009,0.4021,0.3168,0.2802
